Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
UMPQ,"Umpqua Holdings Corp",17.71,0.39,+2.25%,17.33,17.74,17.24,916000,2022-08-05
UNIT,"Uniti Group Inc",9.96,0.11,+1.12%,9.79,9.99,9.63,1321000,2022-08-05
UPST,"Upstart Holdings Inc",29.6,1.27,+4.48%,27.41,30.37,26.83,11006400,2022-08-05
UPWK,"Upwork Inc",20.64,-0.32,-1.53%,20.55,20.97,19.76,1248100,2022-08-05
URBN,"Urban Outfitters Inc",20.37,-0.45,-2.16%,20.41,20.79,20.32,1341100,2022-08-05
UTHR,"United Therapeutic",221.65,0.3,+0.14%,221.87,224.58,219.92,329300,2022-08-05
VBTX,"Veritex Holdings",31.74,0.18,+0.57%,31.46,32.01,31.46,229900,2022-08-05
VC,"Visteon Corp",122.65,-2.97,-2.36%,122.83,125.3,121.27,305700,2022-08-05
VCTR,"Victory Capital Holdings Inc Cl A",27.82,-0.85,-2.96%,27.67,28.3,26.92,280200,2022-08-05
VCYT,"Veracyte Inc",27.9,0.24,+0.87%,26.58,28.13,25.75,926500,2022-08-05
VERU,"Veru Inc",12.61,0.24,+1.94%,12.36,13.45,12.19,7045500,2022-08-05
VIAV,"Viavi Solutions",15.25,0.11,+0.73%,15.02,15.27,14.98,802700,2022-08-05
VICR,"Vicor Cp",76.28,-0.28,-0.37%,75.79,76.73,74.23,167700,2022-08-05
VIR,"Vir Biotechnology Inc",30.17,0.92,+3.15%,28.7,30.21,27.96,771300,2022-08-05
VIRT,"Virtu Financial Cm A",24.16,-0.4,-1.63%,24.44,24.54,24.11,833500,2022-08-05
VLY,"Valley National Bancorp",11.73,0.15,+1.30%,11.58,11.78,11.48,1791400,2022-08-05
VMEO,"Vimeo Inc",6.73,-0.1,-1.46%,6.6,6.97,6.49,1538000,2022-08-05
VNOM,"Viper Energy LP",28.9,0.71,+2.52%,28.06,29.34,27.77,589000,2022-08-05
VOD,"Vodafone Grp Plc ADR",14.69,0.31,+2.16%,14.58,14.72,14.57,4630000,2022-08-05
VRNS,"Varonis Systems Inc",29.96,-0.28,-0.93%,29.91,30.11,28.98,888600,2022-08-05
VRNT,"Verint Systems Inc",46.58,0.38,+0.82%,45.9,46.62,44.17,162800,2022-08-05
VRRM,"Verra Mobility Corp",16.57,-0.55,-3.21%,17.05,17.17,16.5,2582400,2022-08-05
VRSK,"Verisk Analytics Inc",198.38,-0.9,-0.45%,196.97,198.61,195.7,737600,2022-08-05
VRSN,"Verisign Inc",198.7,1.5,+0.76%,193.87,199.01,193.8,527800,2022-08-05
VRTS,"Virtus Inv Partners",205.11,-2.53,-1.22%,206.2,216.88,201.22,70700,2022-08-05
VRTX,"Vertex Pharmaceutic",288.03,13.18,+4.80%,273.11,288.7,272.1,2398400,2022-08-05
VSAT,"Viasat Inc",33.76,-0.07,-0.21%,33.5,34.38,32.81,260300,2022-08-05
VTNR,"Vertex Energy",13.82,1.07,+8.39%,12.69,13.98,12.6,3597600,2022-08-05
VTRS,"Viatris Inc",9.73,0.11,+1.14%,9.57,9.76,9.46,16005400,2022-08-05
WABC,"Westamerica Bancorp",59.05,0.12,+0.20%,58.29,59.27,58.13,68200,2022-08-05
WAFD,"Washington Federal",34.39,0.38,+1.12%,34.01,34.46,33.83,213500,2022-08-05
WB,"Weibo Corp ADR",18.96,-0.01,-0.05%,18.58,19.15,18.4,802500,2022-08-05
WBA,"Walgreens Boots Alliance",38.99,0.01,+0.03%,38.92,39.14,38.62,5611500,2022-08-05
WBD,"Discovery Inc Series A",14.59,-2.89,-16.53%,14.59,15.15,14.41,67846703,2022-08-05
WDAY,"Workday Inc",161.71,-0.83,-0.51%,158.69,163.26,158,1812500,2022-08-05
WDC,"Western Digital Cp",47.09,-2.82,-5.65%,45.73,48.1,45.04,6047200,2022-08-05
WDFC,"W D 40 Company",178.01,-0.19,-0.11%,177.9,181.21,176.99,106500,2022-08-05
WEN,"Wendys Company",20.89,-0.39,-1.83%,21.17,21.25,20.81,3091800,2022-08-05
WERN,"Werner Enterprise",42.2,0.61,+1.47%,41.58,42.45,41.4,587800,2022-08-05
WETG,"Wetrade Group Inc",20.62,2.32,+12.68%,49,50.5,19.19,561000,2022-08-05
WFRD,"Weatherford International Plc",22,0.16,+0.73%,21.59,22.33,21.32,309300,2022-08-05
WING,"Wingstop Inc",134.13,4.37,+3.37%,126.37,134.3,126.37,539500,2022-08-05
WIRE,"Encore Wire Cp",119.09,-1.73,-1.43%,119.3,121,116.58,242000,2022-08-05
WISH,"Contextlogic Inc Cl A",1.79,0.05,+2.87%,1.67,1.84,1.63,9218300,2022-08-05
WIX,"Wix.com Ltd",69.89,1.62,+2.37%,66.21,70.92,65.53,834500,2022-08-05
WMG,"Warner Music Group Corp Cl A",31.5,-0.41,-1.28%,31.37,31.85,31.16,1064600,2022-08-05
WOOF,"Petco Health and Wellness Company Cl A",14.8,0.63,+4.45%,13.97,14.85,13.84,2017400,2022-08-05
WRLD,"World Acceptance Cp",122.64,0.41,+0.34%,120.25,123.73,118.19,65800,2022-08-05
WSBC,"Wesbanco Inc",34.12,0.31,+0.92%,33.67,34.31,33.67,133100,2022-08-05
WSC,"Willscot Corp",41.3,0.52,+1.28%,40.52,41.57,40.19,2279100,2022-08-05
WSFS,"WSFS Financial Corp",48.36,0.87,+1.83%,47.4,48.5,47.22,227000,2022-08-05
WTFC,"Wintrust Financial Corp",86.76,1.91,+2.25%,84.61,86.9,84.54,284600,2022-08-05
WTW,"Willis Towers Watson Public Ltd CO",208.81,-1.28,-0.61%,208.73,210.91,208.37,373000,2022-08-05
WWD,"Woodward Inc",95.23,1.51,+1.61%,93.4,95.42,92.77,476300,2022-08-05
WYNN,"Wynn Resorts Ltd",66.71,-0.39,-0.58%,65.85,67.06,65.72,1789200,2022-08-05
XEL,"XCEL Energy Inc",73.8,-0.76,-1.02%,74.54,74.65,73.14,3057200,2022-08-05
XENE,"Xenon Pharmaceuticals Inc",38.47,2.19,+6.04%,35.67,39.82,35.55,1181500,2022-08-05
XM,"Qualtrics International Inc Cl A",12.6,0.07,+0.56%,12.17,12.69,12.01,1960900,2022-08-05
XMTR,"Xometry Inc Cl A",42.6,0.01,+0.02%,41.56,43.33,41.01,1009100,2022-08-05
XNCR,"Xencor Inc",29.34,-0.33,-1.11%,29.45,30.08,28.73,283500,2022-08-05
XP,"XP Inc Cl A",23.77,0.34,+1.45%,22.94,23.77,22.73,2755200,2022-08-05
XPEL,"Xpel Technologies",64.45,0.44,+0.69%,63.91,64.88,63.06,126000,2022-08-05
XPER,"Xperi Holding Corp",16.63,-0.02,-0.12%,16.45,16.82,16.01,473800,2022-08-05
XRAY,"Dentsply Sirona Inc",36.84,0.93,+2.59%,34.94,37.46,34.94,3710100,2022-08-05
XRX,"Xerox Corp",17.56,0.07,+0.40%,17.26,17.64,17.16,1246600,2022-08-05
YY,"YY Inc ADR",25.91,-1.14,-4.21%,26.5,26.5,25.83,397400,2022-08-05
Z,"Zillow Group Cl C",37.06,-0.6,-1.59%,34,37.13,33.62,7130500,2022-08-05
ZBRA,"Zebra Technologies",331.7,1.12,+0.34%,324.52,337.29,324.52,298500,2022-08-05
ZD,"Ziff Davis Inc",82.04,-1.04,-1.25%,81.23,82.48,81.07,213900,2022-08-05
ZG,"Zillow Grp Inc Cl A",37.37,-0.76,-1.99%,34.4,37.46,33.99,1430400,2022-08-05
ZI,"Zoominfo Technologies Inc Cl A",47.73,1.07,+2.29%,45.47,47.89,45.07,3900400,2022-08-05
ZION,"Zions Bancorp",54,0.69,+1.29%,53.26,54.67,53.15,760200,2022-08-05
ZLAB,"Zai Lab Ltd ADR",45.27,4.44,+10.87%,40.37,45.4,39.77,391800,2022-08-05
ZM,"Zoom Video Communications Cl A",113.85,0.99,+0.88%,110,114.32,108.74,2639400,2022-08-05
ZNTL,"Zentalis Pharmaceuticals Inc",30.72,0.02,+0.07%,30,31.3,30,924100,2022-08-05
ZS,"Zscaler Inc",163.42,1.43,+0.88%,158.61,164.5,157.85,1631800,2022-08-05
"Downloaded from Barchart.com as of 08-05-2022 06:32pm CDT"
