Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",124.26,-0.78,-0.62%,125.41,123.19,1043900,2022-07-25
AAL,"American Airlines Gp",13.75,0.07,+0.51%,13.8,13.3,28351602,2022-07-25
AAP,"Advance Auto Parts Inc",189.63,-1.6,-0.84%,192.06,188.79,408500,2022-07-25
AAPL,"Apple Inc",152.95,-1.14,-0.74%,155.04,152.28,53570602,2022-07-25
ABBV,"Abbvie Inc",150.22,1.75,+1.18%,150.94,148.51,4347000,2022-07-25
ABC,"Amerisourcebergen Corp",144.15,1.65,+1.16%,145.76,142.88,599900,2022-07-25
ABMD,"Abiomed Inc",280.44,-1.26,-0.45%,283.98,278.27,194900,2022-07-25
ABT,"Abbott Laboratories",108.5,-0.7,-0.64%,109.33,107.46,3905800,2022-07-25
ACN,"Accenture Plc",289.29,1.28,+0.44%,289.56,285.45,1354600,2022-07-25
ADBE,"Adobe Systems Inc",391.96,-9.94,-2.47%,400.77,388.57,2338600,2022-07-25
ADI,"Analog Devices",163.04,-0.23,-0.14%,163.15,160.27,3084700,2022-07-25
ADM,"Archer Daniels Midland",75.62,1.78,+2.41%,76.43,74.37,2709700,2022-07-25
ADP,"Automatic Data Procs",218.38,-1.96,-0.89%,221.21,216.85,872800,2022-07-25
ADSK,"Autodesk Inc",195.71,-0.24,-0.12%,196.06,192.54,1444600,2022-07-25
AEE,"Ameren Corp",88.28,0.85,+0.97%,88.36,87.1,658500,2022-07-25
AEP,"American Electric Power Company",95.8,1.45,+1.54%,95.92,94.05,2626800,2022-07-25
AES,"The Aes Corp",20,0.27,+1.37%,20.01,19.38,4736900,2022-07-25
AFL,"Aflac Inc",56.06,0.78,+1.41%,56.27,55.48,1505700,2022-07-25
AIG,"American International Group",52.05,0.72,+1.40%,52.43,51.38,3390300,2022-07-25
AIZ,"Assurant Inc",171.96,2.22,+1.31%,172.33,169.86,169800,2022-07-25
AJG,"Arthur J. Gallagher & Company",169.71,1.48,+0.88%,170.15,168.09,556200,2022-07-25
AKAM,"Akamai Technologies",92.69,-1.44,-1.53%,94.12,92.19,1136100,2022-07-25
ALB,"Albemarle Corp",227.57,6.11,+2.76%,227.79,217.15,720600,2022-07-25
ALGN,"Align Technology",252.07,-13.81,-5.19%,266.64,250.22,1596300,2022-07-25
