Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAN,"Aarons Holdings Company",15.5,-0.51,-3.19%,15.95,15.41,527000,2022-07-25
AAON,"Aaon Inc",56.44,-0.36,-0.63%,57.3,55.84,127900,2022-07-25
AAT,"American Assets Trust",29.95,0.27,+0.91%,30.23,29.7,178100,2022-07-25
AAWW,"Atlas Air Ww",69.59,-0.04,-0.06%,69.7,67.88,551800,2022-07-25
ABCB,"Ameris Bancorp",43.34,1.1,+2.60%,43.47,42.37,285300,2022-07-25
ABG,"Asbury Automotive Group Inc",164.47,-2.75,-1.64%,168.38,163.53,115500,2022-07-25
ABM,"ABM Industries Inc",43.54,0.59,+1.37%,43.74,43.05,239900,2022-07-25
ABTX,"Allegiance Banc CS",41.21,0.03,+0.07%,41.52,41.1,57500,2022-07-25
ACA,"Arcosa Inc",48.51,0.26,+0.54%,48.95,47.85,120900,2022-07-25
ACLS,"Axcelis Tech Inc",63.98,0.33,+0.52%,63.99,62.05,276000,2022-07-25
ADC,"Agree Realty Corp",77.18,0.95,+1.25%,77.26,76.01,615800,2022-07-25
ADTN,"Adtran Holdings Inc",23.97,-0.03,-0.13%,24.32,23.51,1844400,2022-07-25
ADUS,"Addus Homecare Corp",93.69,-0.21,-0.22%,94.49,92.68,57100,2022-07-25
AEIS,"Advanced Energy",83.69,-0.16,-0.19%,83.82,82,122100,2022-07-25
AEL,"American Equity Investment Life",36.47,0.89,+2.50%,36.84,35.95,333900,2022-07-25
AGO,"Assured Guaranty Ltd",57.01,1.1,+1.97%,57.19,55.85,440800,2022-07-25
AGYS,"Agilysys Inc",51.74,0.39,+0.76%,52.98,50.5,84800,2022-07-25
AHH,"Armada Hoffler Properties Inc",13.32,-0.04,-0.30%,13.47,13.24,300100,2022-07-25
AIN,"Albany International Corp",82.21,0.87,+1.07%,82.21,81.03,90400,2022-07-25
AIR,"AAR Corp",42.32,0.98,+2.37%,42.97,41.04,374000,2022-07-25
AIT,"Applied Industrial Technologies",95.33,0.8,+0.85%,95.5,93.98,94200,2022-07-25
AJRD,"Aerojet Rocketdyne Holdings",42.88,-0.05,-0.12%,43.24,42.56,416700,2022-07-25
