Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
KURA,"Kura Oncology",7.88,-0.37,-4.48%,8.21,8.21,7.85,1058400,2025-02-24
KYMR,"Kymera Therapeutics Inc",35.31,-1.5,-4.07%,36.82,37.63,35.12,527000,2025-02-24
LAMR,"Lamar Advertis A",123.65,1.74,+1.43%,122.26,124.37,121.89,742400,2025-02-24
LANC,"Lancaster Colony Cor",194.47,-0.34,-0.17%,195.19,196.03,191.82,143500,2025-02-24
LAUR,"Laureate Education Inc",19.28,-0.32,-1.63%,19.8,19.82,19.15,875900,2025-02-24
LBRDA,"Liberty Broadband Corp Sr A",81.35,0.97,+1.21%,80.48,82.29,80.34,70800,2025-02-24
LBRDK,"Liberty Broadband Corp Sr C",82.36,1,+1.23%,81.34,83.29,81.25,842200,2025-02-24
LBTYA,"Liberty Global Ltd Ord A",11.37,0,0.00%,11.35,11.5,11.2,2068000,2025-02-24
LBTYK,"Liberty Global Ltd Ord C",11.93,0.02,+0.17%,11.95,12,11.65,1404800,2025-02-24
LCID,"Lucid Group Inc",2.78,-0.28,-9.15%,2.98,3,2.71,114961695,2025-02-24
LECO,"Lincoln Elec Holdings",207.47,0.2,+0.10%,208.05,209.37,204.57,228900,2025-02-24
LEGN,"Legend Biotech Corp ADR",36.98,-2.72,-6.85%,39.64,39.64,36.75,1878900,2025-02-24
LFST,"Lifestance Health Group Inc",7.59,-0.11,-1.43%,7.74,7.76,7.52,1355200,2025-02-24
LFUS,"Littelfuse Inc",249.12,-2.65,-1.05%,251.3,253.85,248.35,143800,2025-02-24
LGIH,"LGI Homes Inc",75.99,-1.81,-2.33%,78.27,78.33,75.91,442300,2025-02-24
LGND,"Ligand Pharm",117.07,-3.6,-2.98%,120.81,120.92,116.99,95200,2025-02-24
LGNDZ,"Ligand Pharmaceuticals Incorporated",0.0024,0,0.00%,0.0024,0.0024,0.0024,20100,2025-02-18
LGNXZ,"Ligand Pharmaceuticals Incorporated",0.0021,-0.0007,-25.00%,0.0021,0.0021,0.0021,200300,2025-02-24
LGNYZ,"Ligand Pharma",0.016,0.0009,+5.96%,0.016,0.016,0.016,60000,2025-02-21
LGNZZ,"Ligand Pharmaceuticals Incorporated",0.1227,-0.0081,-6.19%,0.1227,0.1227,0.1227,3000,2025-02-19
LI,"Li Auto Inc ADR",26.36,-1.1,-4.01%,27.01,27.01,26.06,5788100,2025-02-24
LIF,"Life360 Inc",43.53,-1.78,-3.93%,46.19,46.19,42.77,285300,2025-02-24
LILAK,"Liberty Latin America Cl C",6.91,0.02,+0.29%,6.96,7.11,6.89,983800,2025-02-24
LIN,"Linde Plc",458.53,0.53,+0.12%,459.01,464.2,456.02,2108400,2025-02-24
LINE,"Lineage Inc",54.02,0.14,+0.26%,53.72,54.26,53.12,1210800,2025-02-24
LION,"Lionsgate Studios Corp",8.53,0.22,+2.65%,8.35,8.64,8.25,334000,2025-02-24
LITE,"Lumentum Holdings",72.47,-0.88,-1.20%,73.35,75.89,71,2920800,2025-02-24
LIVN,"Livanova Plc OR Sh",49.5,2.06,+4.34%,47.51,49.79,47.29,1308100,2025-02-24
LKFN,"Lakeland Finl Corp",65.61,0.02,+0.03%,65.98,66.51,65.33,82600,2025-02-24
LKQ,"LKQ Corp",41.25,0.76,+1.88%,40.88,41.4,40.56,2633500,2025-02-24
LLYVA,"Liberty Live Series A",78.76,2.91,+3.84%,76.22,79.63,76.21,70600,2025-02-24
LLYVK,"Liberty Live Series C",80.34,2.76,+3.56%,77.7,81.33,77.7,325100,2025-02-24
LMAT,"Lemaitre Vascular",102.03,2.49,+2.50%,99.61,102.88,99.03,222800,2025-02-24
LMFA,"Lm Funding America Inc",1.644,-0.086,-4.97%,1.77,1.77,1.62,88700,2025-02-24
LNT,"Alliant Energy Corp",63.85,1.04,+1.66%,63.1,63.97,62.6,3474900,2025-02-24
LNTH,"Lantheus Holdings",78.95,0.72,+0.92%,78.26,80.43,77.73,913400,2025-02-24
LNW,"Light & Wonder Inc",100.63,-1.2,-1.18%,101.72,102.29,99.94,598900,2025-02-24
LOGI,"Logitech Int S.A.",103.38,-0.62,-0.60%,104.39,104.54,103.19,430600,2025-02-24
LOPE,"Grand Canyon Educati",177.59,-4.11,-2.26%,182.06,182.06,176.3,245900,2025-02-24
LPLA,"Lpl Financial Holdings",374.22,2.09,+0.56%,373.99,379.34,368.77,1317500,2025-02-24
