Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NDAQ,"Nasdaq Inc",49.38,-0.29,-0.58%,49.64,49.1,2663400,2023-08-03
NDSN,"Nordson Corp",248.72,0.9,+0.36%,249.92,246.48,155800,2023-08-03
NEE,"Nextera Energy",70.1,-1.81,-2.52%,71.5,70.06,9075900,2023-08-03
NEM,"Newmont Mining Corp",40.44,-0.22,-0.54%,40.92,40.2,7885500,2023-08-03
NFLX,"Netflix Inc",431,1.3,+0.30%,441.93,427.19,6259300,2023-08-03
NKE,"Nike Inc",108.64,1.13,+1.05%,109.08,106.64,5085700,2023-08-03
NSC,"Norfolk Southern Corp",227.28,-2.94,-1.28%,228.64,226.76,951700,2023-08-03
NTRS,"Northern Trust Corp",80.81,0.68,+0.85%,81.5,79.37,902100,2023-08-03
NVDA,"Nvidia Corp",445.15,2.46,+0.56%,451.18,438,32507600,2023-08-03
NWL,"Newell Rubbermaid Inc",10.8,-0.16,-1.46%,10.93,10.47,4602400,2023-08-03
NWS,"News Corp Cl B",20.14,0.1,+0.50%,20.25,19.85,928900,2023-08-03
NWSA,"News Corp Cl A",19.71,0.05,+0.25%,19.82,19.42,2695900,2023-08-03
NXPI,"Nxp Semiconductors",215.95,-0.45,-0.21%,217.74,211.78,2491700,2023-08-03
OGN,"Organon & Co.",21.51,-0.3,-1.38%,21.93,21.45,2299300,2023-08-03
OKE,"Oneok Inc",65.96,0.44,+0.67%,66.47,65.4,1988300,2023-08-03
OMC,"Omnicom Group Inc",81.92,-0.75,-0.91%,82.58,81.54,1418800,2023-08-03
ON,"On Semiconductor",102.7,-0.87,-0.84%,102.95,100.4,6054400,2023-08-03
OTIS,"Otis Worldwide Corp",89.62,0.23,+0.26%,90.13,88.9,1554600,2023-08-03
PARA,"Paramount Global Cl B",15.09,-0.46,-2.96%,15.45,14.85,12962400,2023-08-03
PAYX,"Paychex Inc",124.67,0.28,+0.23%,125.28,123.69,1012300,2023-08-03
PCAR,"Paccar Inc",84.89,-1.18,-1.37%,85.93,83.88,2929100,2023-08-03
PEAK,"Healthpeak Properties Inc",21.52,-0.09,-0.42%,21.53,21.01,3549300,2023-08-03
PEG,"Public Service Enterprise Group Inc",61.19,-1.95,-3.09%,62.8,60.91,2463200,2023-08-03
PEP,"Pepsico Inc",187.12,-1.19,-0.63%,189.22,186.97,2857600,2023-08-03
PFE,"Pfizer Inc",35,-0.35,-0.99%,35.28,34.92,25687701,2023-08-03
PFG,"Principal Financial Group Inc",79.36,0.92,+1.17%,79.84,77.85,854800,2023-08-03
PG,"Procter & Gamble Company",157,0.41,+0.26%,157.7,156.21,5792700,2023-08-03
PGR,"Progressive Corp",128.85,3.49,+2.78%,129.96,124.72,3886200,2023-08-03
PH,"Parker-Hannifin Corp",418.18,12.31,+3.03%,421.18,397.01,1576100,2023-08-03
PHM,Pultegroup,81.45,-2.11,-2.53%,83.1,80.48,2621500,2023-08-03
PLD,"Prologis Inc",123.81,0.13,+0.11%,124.01,120.58,2718200,2023-08-03
PNC,"PNC Bank",133.02,-1.1,-0.82%,134.13,132.43,2173200,2023-08-03
PNR,"Pentair Ltd",69.35,0.34,+0.49%,69.55,68.29,1098200,2023-08-03
PPG,"PPG Industries",140.28,-1.49,-1.05%,141.82,139.92,1413900,2023-08-03
PRU,"Prudential Financial Inc",96.79,1.48,+1.55%,97.33,94.8,1844400,2023-08-03
PSX,"Phillips 66",110.41,1.42,+1.30%,110.76,107.41,3512300,2023-08-03
PWR,"Quanta Services",203.34,1.02,+0.50%,204.21,194,1349600,2023-08-03
PXD,"Pioneer Natural Resources Company",229.98,2.04,+0.89%,234.78,227.81,2529300,2023-08-03
PYPL,"Paypal Holdings",64.18,-9.02,-12.32%,66.93,64.1,51387301,2023-08-03
QCOM,"Qualcomm Inc",118.7,-10.57,-8.18%,119.11,114.89,29250299,2023-08-03
RCL,"Royal Caribbean Cruises Ltd",104.72,-0.48,-0.46%,107.08,104.15,2450000,2023-08-03
REG,"Regency Centers Corp",65.98,0.29,+0.44%,66.14,64.82,1682500,2023-08-03
REGN,"Regeneron Pharmaceuticals",771.45,39.33,+5.37%,787.84,759.15,1068900,2023-08-03
RF,"Regions Financial Corp",20.5,0.24,+1.18%,20.51,20.02,7033300,2023-08-03
RHI,"Robert Half Inc",75.72,1.42,+1.91%,75.98,74,1067800,2023-08-03
RJF,"Raymond James Financial",109.65,1.09,+1.00%,109.97,107.57,802500,2023-08-03
RL,"Ralph Lauren Corp",132.21,0.73,+0.56%,132.77,130.32,671900,2023-08-03
ROK,"Rockwell Automation Inc",302.05,-2.23,-0.73%,305.04,298.24,1095400,2023-08-03
RSG,"Republic Services",149.12,-3.45,-2.26%,152.5,148.99,1632500,2023-08-03
