Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",189.59,0.34,+0.18%,190.07,188.94,46239000,2023-06-29
ABNB,"Airbnb Inc Cl A",125.1,-2.53,-1.98%,128,123.42,4240000,2023-06-29
ADBE,"Adobe Systems Inc",483.77,1.34,+0.28%,485.83,479.6,1904900,2023-06-29
ADI,"Analog Devices",189.48,-0.42,-0.22%,190.66,187.6,2623200,2023-06-29
ADP,"Automatic Data Procs",216.46,0.85,+0.39%,219.48,214.29,1539600,2023-06-29
ADSK,"Autodesk Inc",206.18,-0.12,-0.06%,210.5,205.36,1104200,2023-06-29
AEP,"American Electric Power Company",83.26,1.64,+2.01%,83.67,80.79,5088900,2023-06-29
ALGN,"Align Technology",341.79,-3.28,-0.95%,349.67,337.76,553000,2023-06-29
AMAT,"Applied Materials",144.23,0.2,+0.14%,145.24,143.51,3916200,2023-06-29
AMD,"Adv Micro Devices",111.24,1.07,+0.97%,112.76,109.84,58318102,2023-06-29
AMGN,"Amgen Inc",221.16,-0.15,-0.07%,221.66,218.88,1860200,2023-06-29
AMZN,"Amazon.com Inc",127.9,-1.14,-0.88%,129.26,127.25,40727602,2023-06-29
ANSS,"Ansys Inc",326.05,1.74,+0.54%,326.38,322.3,318900,2023-06-29
ASML,"Asml Holdings NY Reg ADR",723.35,-0.84,-0.12%,729.38,721.59,767900,2023-06-29
ATVI,"Activision Blizzard",83.08,-0.52,-0.62%,85,82.39,8477000,2023-06-29
AVGO,"Broadcom Ltd",862.57,14.63,+1.73%,862.84,846.41,2338200,2023-06-29
AZN,"Astrazeneca Plc ADR",70.85,-0.11,-0.16%,71,70.13,3315200,2023-06-29
BIIB,"Biogen Inc",282.13,-1.89,-0.67%,285.45,280.59,873700,2023-06-29
BKNG,"Booking Holdings Inc",2655.91,-10.56,-0.40%,2675.91,2633,223900,2023-06-29
BKR,"Baker Hughes Company",31.36,0.23,+0.74%,31.37,30.66,6863100,2023-06-29
CDNS,"Cadence Design Sys",228.54,-0.82,-0.36%,231.59,227.63,1063000,2023-06-29
CEG,"Constellation Energy Corp",90.87,0.32,+0.35%,91.35,90.14,1738700,2023-06-29
CHTR,"Charter Communications Inc",362.68,3.29,+0.92%,363.41,358.9,1080700,2023-06-29
CMCSA,"Comcast Corp A",41.47,-0.2,-0.48%,41.73,41.3,11151900,2023-06-29
COST,"Costco Wholesale",531.69,-1.11,-0.21%,532.45,528.95,1121700,2023-06-29
CPRT,"Copart Inc",90.26,0.55,+0.61%,90.58,89.48,2071600,2023-06-29
CRWD,"Crowdstrike Holdings Inc",143.99,-1.1,-0.76%,146.49,143.17,2449500,2023-06-29
CSCO,"Cisco Systems Inc",51.21,0.34,+0.67%,51.27,50.82,14245500,2023-06-29
CSGP,"Costar Group Inc",90.12,0.79,+0.88%,90.24,88.11,3542200,2023-06-29
CSX,"CSX Corp",33.87,0.28,+0.83%,33.87,33.34,6311100,2023-06-29
CTAS,"Cintas Corp",490.03,0.69,+0.14%,490.05,486.54,272100,2023-06-29
CTSH,"Cognizant Tech Sol",64.54,1.17,+1.85%,64.56,63.18,2180800,2023-06-29
DDOG,"Datadog Inc Cl A",96.45,-1.7,-1.73%,98.5,95.01,2717400,2023-06-29
DLTR,"Dollar Tree Inc",143.61,-2.05,-1.41%,145.63,143.43,1863400,2023-06-29
DXCM,"Dexcom Inc",127.94,1.52,+1.20%,128.9,125.82,2584500,2023-06-29
EA,"Electronic Arts Inc",130.45,-0.21,-0.16%,130.97,128.79,1567300,2023-06-29
EBAY,"Ebay Inc",44.6,-0.24,-0.54%,44.91,44.33,3278400,2023-06-29
ENPH,"Enphase Energy Inc",158.77,-2.65,-1.64%,165.1,157.43,3413400,2023-06-29
EXC,"Exelon Corp",40.11,0.02,+0.05%,40.32,39.67,4549000,2023-06-29
FANG,"Diamondback Energy",130.01,1.4,+1.09%,130.45,128.74,1143300,2023-06-29
FAST,"Fastenal Company",58.54,0.48,+0.83%,58.57,57.57,1990300,2023-06-29
FTNT,"Fortinet Inc",75.09,0.76,+1.02%,75.3,73.9,6114000,2023-06-29
GFS,"Globalfoundries Inc",63.09,0.12,+0.19%,63.13,61.88,1236700,2023-06-29
GILD,"Gilead Sciences Inc",76.01,-0.17,-0.22%,76.48,75.49,5295700,2023-06-29
GOOG,"Alphabet Cl C",120.01,-1.07,-0.88%,120.91,119.21,18510799,2023-06-29
GOOGL,"Alphabet Cl A",119.1,-1.08,-0.90%,120.06,118.29,24085900,2023-06-29
HON,"Honeywell International Inc",206.47,3.97,+1.96%,206.63,201.74,2543900,2023-06-29
IDXX,"Idexx Laboratories",494.49,3.15,+0.64%,495.27,483.96,368900,2023-06-29
ILMN,"Illumina Inc",185.49,0.98,+0.53%,186.6,181.88,1259600,2023-06-29
INTC,"Intel Corp",32.91,-0.66,-1.97%,33.34,32.49,38306602,2023-06-29
INTU,"Intuit Inc",455.82,-3.81,-0.83%,460.95,453.38,1133100,2023-06-29
ISRG,"Intuitive Surg Inc",338.49,5.51,+1.65%,340.59,334.61,1679300,2023-06-29
JD,"Jd.com Inc ADR",34.02,-0.77,-2.21%,34.28,33.63,10582800,2023-06-29
KDP,"Keurig Dr Pepper Inc",30.76,-0.14,-0.45%,30.78,30.47,9003000,2023-06-29
KHC,"Kraft Heinz Company",35.02,0,0.00%,35.09,34.83,5822300,2023-06-29
KLAC,"K L A-Tencor Corp",477.23,2.8,+0.59%,479.4,472.58,588800,2023-06-29
LCID,"Lucid Group Inc",6.88,0.46,+7.17%,6.94,6.41,72333695,2023-06-29
LRCX,"Lam Research Corp",640.36,-1.82,-0.28%,647.9,636,1402200,2023-06-29
LULU,"Lululemon Athletica",370.26,-5.99,-1.59%,379.96,369.84,1103400,2023-06-29
MAR,"Marriot Int Cl A",181.27,3.61,+2.03%,181.4,177.1,1716100,2023-06-29
MCHP,"Microchip Technology",86.98,1.1,+1.28%,87.27,85.78,3455100,2023-06-29
MDLZ,"Mondelez Intl Inc",72.28,-0.94,-1.28%,72.56,71.89,6453400,2023-06-29
MELI,"Mercadolibre Inc",1171.45,-36.24,-3.00%,1214.21,1162.39,382300,2023-06-29
META,"Meta Platforms Inc",281.53,-3.76,-1.32%,286.57,280.69,15377999,2023-06-29
MNST,"Monster Beverage Cp",57.42,0.27,+0.47%,57.92,56.81,4354800,2023-06-29
MRNA,"Moderna Inc",122.11,-0.89,-0.72%,122.98,121.3,1885600,2023-06-29
MRVL,"Marvell Technology Inc",58.37,-1.7,-2.83%,60.43,58.12,14867500,2023-06-29
MSFT,"Microsoft Corp",335.05,-0.8,-0.24%,336.11,332.62,16990699,2023-06-29
MU,"Micron Technology",64.33,-2.74,-4.09%,67.95,63.55,51105000,2023-06-29
NFLX,"Netflix Inc",428.24,-1.6,-0.37%,437.85,426.15,4928100,2023-06-29
NVDA,"Nvidia Corp",408.22,-2.95,-0.72%,416,406,37998699,2023-06-29
NXPI,"Nxp Semiconductors",199.76,2.2,+1.11%,200.49,195.13,1613300,2023-06-29
ODFL,"Old Dominion Freight Line Inc",375.75,5.46,+1.47%,376.73,368.23,914000,2023-06-29
ORLY,"O'Reilly Automotive",937.42,0.39,+0.04%,941.39,931.38,220100,2023-06-29
PANW,"Palo Alto Networks Inc",253.33,-0.08,-0.03%,254.89,251.06,2600500,2023-06-29
PAYX,"Paychex Inc",109.33,-1.38,-1.25%,114.77,108.83,2886100,2023-06-29
PCAR,"Paccar Inc",82.61,1.93,+2.39%,83.27,80.64,2257000,2023-06-29
PDD,"Pdd Holdings Inc",68.9,-1.31,-1.87%,68.93,66.4,7074400,2023-06-29
PEP,"Pepsico Inc",183.88,0.18,+0.10%,183.89,181.39,5770300,2023-06-29
PYPL,"Paypal Holdings",65.86,-0.17,-0.26%,67.34,65.62,14884800,2023-06-29
QCOM,"Qualcomm Inc",118.06,0.52,+0.44%,118.15,116.88,5137500,2023-06-29
REGN,"Regeneron Pharmaceuticals",708.42,8.39,+1.20%,709.48,689.02,914900,2023-06-29
RIVN,"Rivian Automotive Inc Cl A",16.01,1.37,+9.36%,16.01,14.61,48761000,2023-06-29
ROST,"Ross Stores Inc",108.87,0.53,+0.49%,109.29,107.76,1714900,2023-06-29
SBUX,"Starbucks Corp",98.68,0.07,+0.07%,98.83,97.98,5113300,2023-06-29
SGEN,"Seagen Inc",191.53,-2.34,-1.21%,193.73,190.67,2008000,2023-06-29
SIRI,"Sirius XM Holdings",4.33,0.06,+1.41%,4.33,4.16,15686699,2023-06-29
SNPS,"Synopsys Inc",427.9,0.75,+0.18%,430.87,425.14,496200,2023-06-29
TEAM,"Atlassian Corp",161.64,-5.25,-3.15%,165.95,160.51,1299600,2023-06-29
TMUS,"T-Mobile US",136.84,0.57,+0.42%,137.28,135.91,3071400,2023-06-29
TSLA,"Tesla Inc",257.5,1.26,+0.49%,260.74,253.61,131083000,2023-06-29
TXN,"Texas Instruments",176.79,1.83,+1.05%,177.04,174.41,3704900,2023-06-29
VRSK,"Verisk Analytics Inc",223.27,0.1,+0.04%,224.32,222.13,1151400,2023-06-29
VRTX,"Vertex Pharmaceutic",348.18,-2.6,-0.74%,352.77,347.7,1050900,2023-06-29
WBA,"Walgreens Boots Alliance",28.37,-0.71,-2.44%,29.22,28.28,15712100,2023-06-29
WBD,"Discovery Inc Series A",12.42,-0.03,-0.24%,12.5,12.23,13587200,2023-06-29
WDAY,"Workday Inc",227.12,4.16,+1.87%,227.99,221.02,2445800,2023-06-29
XEL,"XCEL Energy Inc",61.29,0.05,+0.08%,61.57,60.39,2881800,2023-06-29
ZM,"Zoom Video Communications Cl A",67.6,-1.09,-1.59%,68.55,67.15,2571700,2023-06-29
ZS,"Zscaler Inc",144.84,0.73,+0.51%,145.44,142.59,1211700,2023-06-29
"Downloaded from Barchart.com as of 06-29-2023 07:24pm CDT"
