>,Symbol,>
>,MIXFeb2023,>
Symbol,,
SBM,,
RRL,,
A2M,,
EVN,,
BVS,,
NCM,,
SFR,,
RED,,
BHP,,
WGX,,
BKL,,
FMG,,
IFL,,
QAN,,
QBE,,
CMM,,
UMG,,
SQ2,,
PMV,,
SLR,,
CDA,,
PNV,,
DMP,,
CRN,,
PNI,,
CIA,,
NWH,,
WAF,,
SIQ,,
MP1,,
NST,,
RMS,,
CNI,,
NIC,,
GPT,,
CXL,,
LIC,,
S32,,
ABB,,
