Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PFE,"Pfizer Inc",50.94,0.28,+0.55%,51.44,50.66,13909800,2022-06-29
PG,"Procter & Gamble Company",142.2,1.28,+0.91%,142.86,141.15,5152500,2022-06-29
PM,"Philip Morris International Inc",100.87,-1.57,-1.53%,102.68,100.61,2792900,2022-06-29
PYPL,"Paypal Holdings",71.47,-0.35,-0.49%,72.15,69.77,11332199,2022-06-29
QCOM,"Qualcomm Inc",130.23,-1.37,-1.04%,131.57,126.89,9963200,2022-06-29
RTX,"Raytheon Technologies Corp",93.3,-0.48,-0.51%,94.3,92.3,2492300,2022-06-29
SBUX,"Starbucks Corp",76.43,0.09,+0.12%,77.15,75.64,8974400,2022-06-29
SCHW,"The Charles Schwab Corp",63.62,-0.55,-0.86%,64.45,63.14,5613100,2022-06-29
SO,"Southern Company",70.67,0.05,+0.07%,71.31,70.34,2909400,2022-06-29
SPG,"Simon Property Group",97.26,-1.99,-2.01%,99,96.42,1864400,2022-06-29
T,"AT&T Inc",20.95,0.34,+1.65%,21.02,20.54,26573398,2022-06-29
TGT,"Target Corp",141.9,-2.62,-1.81%,144.49,141.32,4234300,2022-06-29
TMO,"Thermo Fisher Scientific Inc",535.92,0.15,+0.03%,538.32,528.08,858200,2022-06-29
TMUS,"T-Mobile US",134.37,1.34,+1.01%,134.98,132.5,2768400,2022-06-29
TSLA,"Tesla Inc",685.47,-12.52,-1.79%,693.52,666.82,27577500,2022-06-29
TXN,"Texas Instruments",152.78,-1.38,-0.90%,153.29,150.94,4340600,2022-06-29
UNH,"Unitedhealth Group Inc",515.71,7.27,+1.43%,518.7,506.01,3815900,2022-06-29
UNP,"Union Pacific Corp",213.15,-0.21,-0.10%,214.03,210.46,2174900,2022-06-29
UPS,"United Parcel Service",181.13,1.21,+0.67%,181.62,177.67,2094300,2022-06-29
USB,"U.S. Bancorp",46.12,-0.77,-1.64%,46.83,45.89,4960000,2022-06-29
V,"Visa Inc",199.5,1.38,+0.70%,200.64,197.32,4312400,2022-06-29
VZ,"Verizon Communications Inc",50.94,0.48,+0.95%,51,50.32,13884899,2022-06-29
WBA,"Walgreens Boots Alliance",40.87,-0.09,-0.22%,41.08,40.44,6085400,2022-06-29
WFC,"Wells Fargo & Company",39.71,-0.47,-1.17%,40.53,39.54,15757199,2022-06-29
WMT,"Walmart Inc",121.92,-0.45,-0.37%,123.35,120.97,6356200,2022-06-29
XOM,"Exxon Mobil Corp",88.12,-3.38,-3.69%,93.2,87.75,25351100,2022-06-29
"Downloaded from Barchart.com as of 06-29-2022 06:24pm CDT"
