Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",180.19,1.58,+0.88%,180.59,178.54,43768602,2023-08-28
ABBV,"Abbvie Inc",147.43,0.74000000000001,+0.50%,148.065,146.77,2807024,2023-08-28
ABT,"Abbott Laboratories",102.79,-1.42,-1.36%,105.22,101.885,5862565,2023-08-28
ACN,"Accenture Plc",320.91,2.15,+0.67%,322.24,318.735,1236449,2023-08-28
ADBE,"Adobe Systems Inc",529.92,4.86,+0.93%,533.51,523.98,1683500,2023-08-28
AIG,"American International Group",57.87,0.019999999999996,+0.03%,58.39,57.45,2048734,2023-08-28
AMD,"Adv Micro Devices",102.61,0.36,+0.35%,104.07,100.89,55337000,2023-08-28
AMGN,"Amgen Inc",256.55,0.17,+0.07%,258.12,255.14,1661200,2023-08-28
AMT,"American Tower Corp",178.17,0.63999999999999,+0.36%,179.05,176.795,1381865,2023-08-28
AMZN,"Amazon.com Inc",133.14,-0.12,-0.09%,133.95,131.85,34081398,2023-08-28
AVGO,"Broadcom Ltd",861.08,9.26,+1.09%,864.13,847.11,1429300,2023-08-28
AXP,"American Express Company",159.19,0.87,+0.55%,160.91,158.76,2509869,2023-08-28
BA,"Boeing Company",227.06,3.65,+1.63%,227.45,223.2901,4641218,2023-08-28
BAC,"Bank of America Corp",28.76,0.26,+0.91%,29,28.565,33072720,2023-08-28
BK,"Bank of New York Mellon Corp",44.25,0.52,+1.19%,44.575,43.96,1996374,2023-08-28
BKNG,"Booking Holdings Inc",3069.61,27.1,+0.89%,3084.06,3057.1,140800,2023-08-28
BLK,"Blackrock Inc",679,3.04,+0.45%,683.5376,674.63,430854,2023-08-28
BMY,"Bristol-Myers Squibb Company",61.64,-0.44,-0.71%,62.4086,61.38,6848766,2023-08-28
BRK.B,"Berkshire Hathaway Cl B",355.55,-0.38,-0.11%,358.41,354.53,1728650,2023-08-28
C,"Citigroup Inc",41.32,0.079999999999998,+0.19%,41.86,41.15,14120745,2023-08-28
CAT,"Caterpillar Inc",274.79,2.23,+0.82%,276.999,273.035,1550815,2023-08-28
CHTR,"Charter Communications Inc",432,15.22,+3.65%,432.24,417.7,1213900,2023-08-28
CL,"Colgate-Palmolive Company",73.64,-0.19,-0.26%,74.01,73.175,2871159,2023-08-28
CMCSA,"Comcast Corp A",45.98,0.51,+1.12%,46.06,45.56,10807700,2023-08-28
COF,"Capital One Financial Corp",101.59,0.74000000000001,+0.73%,102.6665,100.955,1446002,2023-08-28
COP,Conocophillips,117.52,1,+0.86%,118.4,116.42,2821632,2023-08-28
COST,"Costco Wholesale",536.19,2.18,+0.41%,537.04,533.12,945500,2023-08-28
CRM,"Salesforce Inc",211.72,2.25,+1.07%,213.4767,209.64,4084723,2023-08-28
CSCO,"Cisco Systems Inc",56.2,0.5,+0.90%,56.28,55.68,15183700,2023-08-28
CVS,"CVS Corp",67.24,-0.079999999999998,-0.12%,68.025,66.89,5939821,2023-08-28
CVX,"Chevron Corp",160.21,1.09,+0.69%,161.8,159.215,4385884,2023-08-28
DHR,"Danaher Corp",261.5,5.97,+2.34%,262.01,257.51,2246665,2023-08-28
DIS,"Walt Disney Company",84.16,0.8,+0.96%,84.685,83.53,12164155,2023-08-28
DOW,"Dow Inc",54.6,0.62,+1.15%,54.88,54.15,3429703,2023-08-28
DUK,"Duke Energy Corp",90.02,-0.56,-0.62%,91.17,90,2128700,2023-08-28
EMR,"Emerson Electric Company",98.12,0.48,+0.49%,98.82,97.94,2228875,2023-08-28
EXC,"Exelon Corp",40.25,-0.05,-0.12%,40.63,40.17,3167000,2023-08-28
F,"Ford Motor Company",11.9,-0.0099999999999998,-0.08%,12.06,11.85,29691418,2023-08-28
FDX,"Fedex Corp",258.35,-0.38,-0.15%,262.955,257.25,1059877,2023-08-28
GD,"General Dynamics Corp",225.35,1.76,+0.79%,225.6,223.34,747414,2023-08-28
GE,"General Electric Company",113.96,1.99,+1.78%,114.28,112.15,2812732,2023-08-28
GILD,"Gilead Sciences Inc",77.04,0.18,+0.23%,77.49,76.63,2783400,2023-08-28
GM,"General Motors Company",33.12,0.16999999999999,+0.52%,33.45,32.93,7393332,2023-08-28
GOOG,"Alphabet Cl C",131.79,1.1,+0.84%,133.24,130.85,16706400,2023-08-28
GOOGL,"Alphabet Cl A",131.01,1.13,+0.87%,132.54,130.14,20526600,2023-08-28
GS,"Goldman Sachs Group",325.97,5.8200000000001,+1.82%,326.6,321.34,1440243,2023-08-28
HD,"Home Depot",325.91,3.05,+0.94%,327.44,322.87,2099987,2023-08-28
HON,"Honeywell International Inc",187.88,1.58,+0.85%,189.63,187.12,1940700,2023-08-28
IBM,"International Business Machines",146.02,0.67000000000002,+0.46%,146.74,145.21,3561320,2023-08-28
INTC,"Intel Corp",33.62,0.37,+1.11%,33.78,33.21,22335900,2023-08-28
JNJ,"Johnson & Johnson",164.29,-1.96,-1.18%,166.21,163.165,18457987,2023-08-28
JPM,"JP Morgan Chase & Company",147.56,0.50999999999999,+0.35%,148.61,147.13,5094169,2023-08-28
KHC,"Kraft Heinz Company",33.84,-0.01,-0.03%,34.04,33.71,5728300,2023-08-28
