Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",191.31,0.67,+0.35%,192.93,190.82,39630000,2023-11-22
ABBV,"Abbvie Inc",138.47,-0.26,-0.19%,139.84,138.33,3428600,2023-11-22
ABT,"Abbott Laboratories",102.7,0.79,+0.78%,103.22,102.08,6470500,2023-11-22
ACN,"Accenture Plc",333.13,2.87,+0.87%,335.53,332.81,1425800,2023-11-22
ADBE,"Adobe Systems Inc",619.72,8.73,+1.43%,624.38,614.01,2064900,2023-11-22
AIG,"American International Group",64.97,0,0.00%,65.26,64.59,1857800,2023-11-22
AMD,"Adv Micro Devices",122.51,3.35,+2.81%,124.76,119.95,56894402,2023-11-22
AMGN,"Amgen Inc",264.59,1.77,+0.67%,266.47,262.26,1649100,2023-11-22
AMT,"American Tower Corp",198.79,1.25,+0.63%,200.58,197.83,1393200,2023-11-22
AMZN,"Amazon.com Inc",146.71,2.81,+1.95%,147.74,144.57,45700000,2023-11-22
AVGO,"Broadcom Ltd",972,-9.2,-0.94%,987.99,971,3375000,2023-11-22
AXP,"American Express Company",163.79,1.5,+0.92%,164.68,162.85,2528300,2023-11-22
BA,"Boeing Company",219.91,1.64,+0.75%,221.5,217.7,5386200,2023-11-22
BAC,"Bank of America Corp",29.63,-0.03,-0.10%,29.79,29.52,41427898,2023-11-22
BK,"Bank of New York Mellon Corp",47.22,0.29,+0.62%,47.31,46.71,2850900,2023-11-22
BKNG,"Booking Holdings Inc",3130,-15.05,-0.48%,3168.78,3129.96,192600,2023-11-22
BLK,"Blackrock Inc",727.14,2.5,+0.34%,730.28,725.97,498100,2023-11-22
BMY,"Bristol-Myers Squibb Company",49.42,0.94,+1.94%,49.49,48.56,14736500,2023-11-22
BRK.B,"Berkshire Hathaway Cl B",361.8,0.8,+0.22%,362.46,360.05,2110600,2023-11-22
C,"Citigroup Inc",45.02,-0.07,-0.16%,45.32,44.84,9441400,2023-11-22
