>,,Note Min of about 7
>,,
Symbol,,
aapl,,
msft,,
ibm,,
hpe,,
hpq,,
goog,,
googl,,
tslaX,,
ba,,
now,,
orcl,,
T ,,
META,,
FB,,
TXN,,
CSCO,,
