Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",16.43,-0.18,-1.08%,16.53,16.81,16.37,26257000,2023-01-27
AAOI,"Applied Optoelect",2.37,0.17,+7.73%,2.23,2.43,2.17,107900,2023-01-27
AAON,"Aaon Inc",74.5,0.6,+0.81%,73.71,75.48,73.71,211400,2023-01-27
AAPL,"Apple Inc",145.93,1.97,+1.37%,143.15,147.23,143.08,70555805,2023-01-27
AAWW,"Atlas Air Ww",101.9,-0.1,-0.10%,102.03,102.03,101.9,192000,2023-01-27
ABCB,"Ameris Bancorp",46.46,-0.33,-0.71%,45.5,46.9,45.4,570100,2023-01-27
ABCL,"Abcellera Biologics Inc",10.76,0.24,+2.28%,10.46,10.85,10.39,1247600,2023-01-27
ABNB,"Airbnb Inc Cl A",115.94,6.52,+5.96%,108.86,117.12,108.73,9548400,2023-01-27
ACAD,"Acadia Pharmaceutica",18.57,-0.09,-0.48%,18.57,18.77,18.39,935200,2023-01-27
ACAH,"Atlantic Coastal Acquisition Corp Cl A",10.09,0,0.00%,10.09,10.1,10.09,101200,2023-01-27
ACB,"Aurora Cannabis Inc",1.02,0.05,+5.15%,0.98,1.04,0.964,7964700,2023-01-27
ACCD,"Accolade Inc",11.28,0.67,+6.31%,10.62,11.32,10.3,561700,2023-01-27
ACGL,"Arch Capital Grp Ltd",64.06,-0.69,-1.07%,64.47,64.86,63.97,1039700,2023-01-27
ACHC,"Acadia Healthcr Company",84.68,0.34,+0.40%,84.03,85.04,83.43,693700,2023-01-27
ACIW,"Aci Worldwide Inc",27.86,0.12,+0.43%,27.64,28.28,27.47,852400,2023-01-27
ACLS,"Axcelis Tech Inc",110.44,-3.29,-2.89%,112.28,112.75,109.85,432000,2023-01-27
ACLX,"Arcellx Inc",33.94,0.8,+2.41%,33,34.12,32.75,371400,2023-01-27
ACT,"Enact Holdings Inc",24.8,0.05,+0.20%,24.76,25.15,24.71,62100,2023-01-27
ADBE,"Adobe Systems Inc",370.71,4.89,+1.34%,363.49,373.42,362.85,2615500,2023-01-27
ADEA,"Adeia Inc",11.14,-0.19,-1.68%,11.31,11.61,11.11,401500,2023-01-27
ADI,"Analog Devices",170.83,0.09,+0.05%,169.07,172.03,168.4,2453300,2023-01-27
ADP,"Automatic Data Procs",220.8,-4.63,-2.05%,224.5,225.88,220.21,4945200,2023-01-27
ADSK,"Autodesk Inc",210.88,2.42,+1.16%,206.33,212.5,206,1284600,2023-01-27
ADUS,"Addus Homecare Corp",106.4,-0.53,-0.50%,106.48,107.32,105.31,48200,2023-01-27
ADV,"Advantage Solutions Inc",2.67,0.14,+5.53%,2.51,2.69,2.51,299600,2023-01-27
AEIS,"Advanced Energy",93.44,-1.82,-1.91%,93.52,94.76,92.89,120300,2023-01-27
