Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
SYK,"Stryker Corp",283.71,8.09,+2.94%,284,292.5,282.01,2792800,2023-08-04
TECH,"Bio-Techne Cp",82.17,1.16,+1.43%,80.83,82.25,80.78,872600,2023-08-04
TFX,"Teleflex Inc",237.88,-1.59,-0.66%,238.77,242.48,236.29,222900,2023-08-04
TMO,"Thermo Fisher Scientific Inc",548.64,0.26,+0.05%,547.51,554.99,546.77,1102200,2023-08-04
UHS,"Universal Health Services",134.36,-0.95,-0.70%,135.35,135.66,133.19,1656900,2023-08-04
UNH,"Unitedhealth Group Inc",502.73,-2.13,-0.42%,510,510.89,501.75,2411200,2023-08-04
VRTX,"Vertex Pharmaceutic",340.48,-7.26,-2.09%,347.74,348.94,340.2,1248300,2023-08-04
VTRS,"Viatris Inc",10.59,0.14,+1.34%,10.46,10.63,10.39,12745500,2023-08-04
WAT,"Waters Corp",289.89,-1.52,-0.52%,291.48,296.1,289.28,754300,2023-08-04
WST,"West Pharmaceutical Services",375.07,5.35,+1.45%,370.82,376.73,368.71,383000,2023-08-04
XRAY,"Dentsply Sirona Inc",39.29,0.01,+0.03%,39.29,39.81,39.17,1264400,2023-08-04
ZBH,"Zimmer Biomet Holdings",126.32,0.53,+0.42%,125.96,128.16,125.81,1560200,2023-08-04
ZTS,"Zoetis Inc Cl A",178.63,-2.25,-1.24%,180.14,182.46,178.34,1827400,2023-08-04
"Downloaded from Barchart.com as of 08-05-2023 05:32am CDT"
