Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",227.65,0.02,+0.01%,230.59,227.2,33097898,2025-02-10
ABNB,"Airbnb Inc Cl A",135.24,0.26,+0.19%,136.36,133.16,4759900,2025-02-10
ADBE,"Adobe Systems Inc",451.1,18.03,+4.16%,453.37,439,3946500,2025-02-10
ADI,"Analog Devices",204.86,-0.35,-0.17%,207.21,202.97,2820200,2025-02-10
ADP,"Automatic Data Procs",306.93,0.96,+0.31%,308.36,306.48,902800,2025-02-10
ADSK,"Autodesk Inc",304.99,3.84,+1.28%,308.72,301.64,1761600,2025-02-10
AEP,"American Electric Power Company",100.83,0.48,+0.48%,100.96,99.11,2473800,2025-02-10
AMAT,"Applied Materials",183.66,3.66,+2.03%,184.03,181.42,5743400,2025-02-10
AMD,"Adv Micro Devices",110.48,2.92,+2.71%,111.4,108.15,34878602,2025-02-10
AMGN,"Amgen Inc",294.79,1.25,+0.43%,296.88,290.67,2375700,2025-02-10
AMZN,"Amazon.com Inc",233.14,3.99,+1.74%,233.92,229.2,35402398,2025-02-10
ANSS,"Ansys Inc",342,-2.86,-0.83%,346,341.21,521900,2025-02-10
APP,"Applovin Corp Cl A",384.4,8.68,+2.31%,396.61,373.2,4592700,2025-02-10
ARM,"Arm Holdings Plc ADR",160.84,-1.67,-1.03%,163.4,158.58,3440400,2025-02-10
ASML,"Asml Holdings NY Reg ADR",744.08,16.38,+2.25%,745.56,735.88,986000,2025-02-10
AVGO,"Broadcom Ltd",235.04,10.17,+4.52%,235.82,227.12,23892500,2025-02-10
AXON,"Axon Enterprise Inc",677.85,-1.39,-0.20%,686.08,672,432500,2025-02-10
AZN,"Astrazeneca Plc ADR",72.66,0.67,+0.93%,73.3,72.44,7239200,2025-02-10
BIIB,"Biogen Inc",142.54,1.19,+0.84%,142.68,140.06,1523700,2025-02-10
BKNG,"Booking Holdings Inc",4913.48,26.01,+0.53%,4987,4905.99,191700,2025-02-10
BKR,"Baker Hughes Company",47.41,1.21,+2.62%,47.52,46.93,6339900,2025-02-10
CCEP,"Coca-Cola Europacific Partners Plc",80.42,0.39,+0.49%,80.63,80.04,1471000,2025-02-10
CDNS,"Cadence Design Sys",305.63,5.95,+1.99%,305.89,301.22,1236900,2025-02-10
CDW,"CDW Corp",191.57,-0.45,-0.23%,194.02,189.58,1280300,2025-02-10
CEG,"Constellation Energy Corp",321.83,12.04,+3.89%,322,312.58,2729000,2025-02-10
CHTR,"Charter Communications Inc",343.73,-4.11,-1.18%,351.87,342.52,866900,2025-02-10
CMCSA,"Comcast Corp A",34.47,0.1,+0.29%,34.78,34.39,26992199,2025-02-10
COST,"Costco Wholesale",1061.92,18.11,+1.73%,1063,1046,2036500,2025-02-10
CPRT,"Copart Inc",58.63,0.42,+0.72%,59.03,58.11,3732100,2025-02-10
CRWD,"Crowdstrike Holdings Inc",428.92,7.33,+1.74%,431.9,424.48,2258500,2025-02-10
CSCO,"Cisco Systems Inc",62.81,0.54,+0.87%,63.15,62.38,15815200,2025-02-10
CSGP,"Costar Group Inc",76.97,-0.28,-0.36%,77.72,76.52,1927900,2025-02-10
CSX,"CSX Corp",33.08,0.49,+1.50%,33.11,32.69,9929000,2025-02-10
CTAS,"Cintas Corp",203.97,1.91,+0.95%,205.19,201.87,1530400,2025-02-10
CTSH,"Cognizant Tech Sol",86.96,0.76,+0.88%,87.45,86.31,4727700,2025-02-10
DASH,"Doordash Inc Cl A",192.63,-2.91,-1.49%,198.69,192.39,4924900,2025-02-10
DDOG,"Datadog Inc Cl A",147.1,4.45,+3.12%,147.82,143.65,4915600,2025-02-10
DXCM,"Dexcom Inc",88.27,0.19,+0.22%,88.43,85.6,3006700,2025-02-10
