Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",12.76,-0.09,-0.70%,12.8,13,12.67,31865400,2023-10-06
AAOI,"Applied Optoelect",9.08,-0.04,-0.44%,8.77,9.42,8.77,1073300,2023-10-06
AAON,"Aaon Inc",57.28,1.27,+2.27%,55.5,57.5,55.5,284300,2023-10-06
AAPL,"Apple Inc",177.49,2.58,+1.48%,173.8,177.99,173.18,57266602,2023-10-06
ABCB,"Ameris Bancorp",38.28,0.39,+1.03%,37.38,38.71,37.03,269300,2023-10-06
ABCL,"Abcellera Biologics Inc",4.42,0,0.00%,4.4,4.47,4.35,712500,2023-10-06
ABCM,"Abcam Plc ADR",22.68,-0.06,-0.26%,22.74,22.77,22.64,7951400,2023-10-06
ABNB,"Airbnb Inc Cl A",126.36,1.37,+1.10%,123,127.4,122.02,5153600,2023-10-06
ACAD,"Acadia Pharmaceutica",21.68,-0.28,-1.28%,21.11,21.84,21.03,1082100,2023-10-06
ACAH,"Atlantic Coastal Acquisition Corp Cl A",10.45,-0.17,-1.60%,10.5,10.56,10.45,700,2023-10-05
ACCD,"Accolade Inc",8.2,-0.27,-3.19%,8.29,8.35,7.6,1341000,2023-10-06
ACDC,"Profrac Holding Corp. Cl A",8.87,-0.19,-2.04%,9.09,9.16,8.82,714700,2023-10-06
ACGL,"Arch Capital Grp Ltd",82.18,0.54,+0.66%,81.41,82.56,81.28,1672600,2023-10-06
ACHC,"Acadia Healthcr Company",69.29,1.53,+2.26%,67.5,69.78,66.49,579900,2023-10-06
ACIW,"Aci Worldwide Inc",21.09,0.06,+0.29%,20.87,21.47,20.87,300100,2023-10-06
ACLS,"Axcelis Tech Inc",162.15,3.21,+2.02%,157.29,163.76,156.5,342400,2023-10-06
ACLX,"Arcellx Inc",36.17,1.07,+3.05%,34.81,36.21,34.29,224900,2023-10-06
ACRS,"Aclaris Therapts",6.06,0.14,+2.36%,5.91,6.13,5.69,520900,2023-10-06
ACT,"Enact Holdings Inc",27.97,-0.06,-0.21%,28.01,28.4,27.94,178800,2023-10-06
ACVA,"Acv Auctions Inc Cl A",14.36,-0.08,-0.55%,14.23,14.58,13.97,999400,2023-10-06
ADBE,"Adobe Systems Inc",526.68,10.24,+1.98%,513.22,531.31,509.52,2526300,2023-10-06
ADEA,"Adeia Inc",9.03,0.45,+5.24%,8.44,9.27,8.44,827900,2023-10-06
ADI,"Analog Devices",173.97,1.87,+1.09%,170.71,175.29,170.13,3259800,2023-10-06
ADP,"Automatic Data Procs",246.38,3.02,+1.24%,242.15,247.65,240.27,1574900,2023-10-06
ADPT,"Adaptive Biotechnologies Corp",4.7,-0.04,-0.84%,4.68,4.78,4.55,1322600,2023-10-06
ADSK,"Autodesk Inc",210.04,6.08,+2.98%,202.08,211.28,201.33,1238000,2023-10-06
ADTN,"Adtran Holdings Inc",7.84,0.04,+0.51%,7.73,7.88,7.57,932400,2023-10-06
ADUS,"Addus Homecare Corp",83.56,0.27,+0.32%,83.28,84.43,82.54,52700,2023-10-06
ADV,"Advantage Solutions Inc",2.99,0.03,+1.01%,2.95,3.04,2.9,610000,2023-10-06
AEHR,"Aehr Test Systems",38.64,-5.57,-12.60%,38.75,39.88,35.36,6647700,2023-10-06
AEIS,"Advanced Energy",98.82,1.14,+1.17%,96.93,99.42,96.47,201600,2023-10-06
AEP,"American Electric Power Company",72.19,0.86,+1.21%,70.51,72.29,69.38,4584500,2023-10-06
AFRM,"Affirm Holdings Inc Cl A",17.94,0.43,+2.46%,16.85,18.27,16.69,13390800,2023-10-06
AGIO,"Agios Pharmaceuticals",24,-0.53,-2.16%,24.29,24.45,23.62,444400,2023-10-06
AGNC,"Agnc Investment Corp",8.93,-0.07,-0.78%,8.86,9.06,8.82,8596500,2023-10-06
AGYS,"Agilysys Inc",70.85,3.86,+5.76%,66.63,71.58,66.63,113100,2023-10-06
AHCO,"Adapthealth Corp Cl. A",7.98,-0.07,-0.87%,7.92,8.06,7.66,2429200,2023-10-06
AIRS,"Airsculpt Technologies Inc",7.3,0.44,+6.41%,6.73,7.32,6.65,50900,2023-10-06
AKAM,"Akamai Technologies",105.76,0.1,+0.09%,104.76,106.81,103.79,1350100,2023-10-06
AKRO,"Akero Therapeutics Inc",50.33,2.91,+6.14%,46.74,50.42,46.05,1075900,2023-10-06
ALGM,"Allegro Microsystems Inc",30.92,0.55,+1.81%,29.98,31.16,29.76,1065900,2023-10-06
ALGN,"Align Technology",284.64,4.47,+1.59%,276.28,287.68,275.37,702300,2023-10-06
ALGT,"Allegiant Travel Com",78.16,1.88,+2.46%,75.69,79.08,75.6,245000,2023-10-06
ALKS,"Alkermes Plc",28.68,0.24,+0.84%,28.33,28.78,28.24,1127700,2023-10-06
ALLK,"Allakos Inc",2.44,0.04,+1.67%,2.42,2.47,2.33,705400,2023-10-06
ALNY,"Alnylam Pharmaceuticals",176.92,-1.79,-1.00%,178.42,180.99,176.74,459600,2023-10-06
ALRM,Alarm.com,60.07,0.28,+0.47%,59.33,60.31,57.82,150900,2023-10-06
ALRN,"Aileron Therapeutics Inc",1.43,-0.03,-2.05%,1.45,1.4867,1.42,18300,2023-10-06
ALTO,"Alto Ingredients Inc",3.98,0.03,+0.76%,3.9,4.03,3.83,476700,2023-10-06
ALTR,"Altair Engineering Inc Cl A",65,-0.99,-1.50%,65.43,67.43,64.88,704700,2023-10-06
AMAM,"Ambrx Biopharma Inc ADR",10.73,0.13,+1.23%,10.76,11,10.4,267100,2023-10-06
AMAT,"Applied Materials",140.29,1.01,+0.73%,138.05,141.16,135.15,5234400,2023-10-06
AMBA,"Ambarella Inc",53.4,1.36,+2.61%,51.65,53.62,51.35,339800,2023-10-06
AMD,"Adv Micro Devices",107.24,4.33,+4.21%,102.16,107.87,102.03,64864000,2023-10-06
AMED,"Amedisys Inc",92.56,0.06,+0.06%,92.2,92.71,92.2,297900,2023-10-06
AMEH,"Apollo Medical Holdings Inc",32.63,0.39,+1.21%,32.13,32.82,31.87,99000,2023-10-06
AMGN,"Amgen Inc",267.47,2.39,+0.90%,263.15,268.59,262.23,2837900,2023-10-06
AMKR,"Amkor Technology",22.67,0.26,+1.16%,22.3,22.93,22.27,1533300,2023-10-06
AMLX,"Amylyx Pharmaceuticals Inc",17.33,-0.44,-2.48%,17.59,17.97,17.33,2073100,2023-10-06
AMPH,"Amphastar Pharma",47.19,0.62,+1.33%,46.36,47.55,46.05,281500,2023-10-06
AMPL,"Amplitude Inc Cl A",10.63,-0.14,-1.30%,10.65,10.87,10.59,565700,2023-10-06
AMRK,"A-Mark Precious Meta",28.94,0.37,+1.30%,28.63,29.02,27.6,234300,2023-10-06
AMZN,"Amazon.com Inc",127.96,2,+1.59%,124.16,128.45,124.13,46836699,2023-10-06
ANDE,"Andersons Inc",49.82,-0.29,-0.58%,49.91,50.32,49.26,171900,2023-10-06
ANGO,"Angiodynamics Inc",7.07,-0.08,-1.12%,7.11,7.17,6.73,629300,2023-10-06
ANSS,"Ansys Inc",296.51,6.33,+2.18%,288.16,297.79,286.6,574200,2023-10-06
APA,"Apa Corp",37.59,-0.14,-0.37%,38.04,38.2,36.85,5666700,2023-10-06
APAC,"Stonebridge Acquisition Corp Cl A",11.07,0.02,+0.18%,11.07,11.07,11.01,2100,2023-10-04
APEI,"American Public Education",4.95,0.03,+0.71%,4.57,5.15,4.57,32100,2023-10-06
APLS,"Apellis Pharmaceuticals Inc",41.03,1.39,+3.51%,40.57,43.31,40.41,3560500,2023-10-06
APM,"Aptorum Group Ltd Cl A",2.13,0.01,+0.57%,2.06,2.13,2.06,1200,2023-10-06
APP,"Applovin Corp Cl A",40.38,0.68,+1.71%,38.99,41.06,38.79,1828500,2023-10-06
APPF,"Appfolio Cl A",193.38,4.03,+2.13%,187.5,194.3,187.5,177700,2023-10-06
APPN,"Appian Corp Cl A",42.46,1.18,+2.86%,40.51,42.5,40.35,277000,2023-10-06
APPS,"Digital Turbine",5.51,0.05,+0.92%,5.35,5.59,5.31,1699800,2023-10-06
ARCB,"Arcbest Corp",98.75,1.07,+1.10%,96.98,99.82,96.34,235600,2023-10-06
ARCT,"Arcturus Therapeutics Ltd",25.1,-0.31,-1.22%,24.93,25.36,24.51,184800,2023-10-06
ARGX,"Argenx Se ADR",495.87,7.24,+1.48%,484.51,502.62,484.51,271600,2023-10-06
ARLP,"Alliance Resource Pt",22.54,0.48,+2.18%,22.18,22.69,22.08,262600,2023-10-06
ARM,"Arm Holdings Plc Ard",54.08,1.57,+2.99%,52.72,54.21,51.55,4009200,2023-10-06
ARRY,"Array Technologies Inc",19.75,0.92,+4.89%,18.6,20.17,18.53,7138200,2023-10-06
ARWR,"Arrowhead Pharma",25.19,-0.36,-1.41%,25.25,25.8,25.01,639800,2023-10-06
ASML,"Asml Holdings NY Reg ADR",597.36,15.67,+2.69%,583.79,600.49,577.6,1042200,2023-10-06
ASND,"Ascendis Pharma ADR",90.48,0.46,+0.51%,89.45,92.17,89.17,190400,2023-10-06
