Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",158.93,1.1,+0.70%,161.55,157.68,67622000,2023-03-23
ABBV,"Abbvie Inc",155.3,1.63,+1.06%,156.5,154.02,4584000,2023-03-23
ABT,"Abbott Laboratories",97.04,0.18,+0.19%,97.81,96.44,4525000,2023-03-23
ACN,"Accenture Plc",271.66,18.39,+7.26%,274.61,259.3,5166800,2023-03-23
ADBE,"Adobe Systems Inc",369,7.29,+2.02%,375.25,365.49,3138500,2023-03-23
AIG,"American International Group",47.16,-1.59,-3.26%,48.94,46.61,6555100,2023-03-23
AMD,"Adv Micro Devices",100.28,2.7,+2.77%,102.43,98.67,84088805,2023-03-23
AMGN,"Amgen Inc",233.1,3.27,+1.42%,234.1,229.89,2175600,2023-03-23
AMT,"American Tower Corp",191.62,-0.5,-0.26%,195.3,190.37,2053200,2023-03-23
AMZN,"Amazon.com Inc",98.71,0.01,+0.01%,101.06,97.62,57559301,2023-03-23
AVGO,"Broadcom Ltd",639.23,8.31,+1.32%,648.18,631.53,2716400,2023-03-23
AXP,"American Express Company",162.76,0.01,+0.01%,166.24,160.82,3727700,2023-03-23
BA,"Boeing Company",197.9,1.74,+0.89%,201.5,195.14,6266800,2023-03-23
BAC,"Bank of America Corp",26.97,-0.67,-2.42%,28.09,26.79,105335898,2023-03-23
BK,"Bank of New York Mellon Corp",43.24,-0.71,-1.62%,44.16,42.87,5203400,2023-03-23
BKNG,"Booking Holdings Inc",2538.76,-19.48,-0.76%,2615.63,2523.85,352600,2023-03-23
BLK,"Blackrock Inc",651.78,3.46,+0.53%,660.99,645.55,483300,2023-03-23
BMY,"Bristol-Myers Squibb Company",66.98,-0.26,-0.39%,67.9,66.64,6723600,2023-03-23
BRK.B,"Berkshire Hathaway Cl B",298.37,-1.36,-0.45%,302.08,296.3,4016100,2023-03-23
C,"Citigroup Inc",43.45,-0.26,-0.59%,44.85,43.11,24112500,2023-03-23
CAT,"Caterpillar Inc",219.44,-0.51,-0.23%,225.3,217.6,2957500,2023-03-23
CHTR,"Charter Communications Inc",342.17,0.34,+0.10%,348.7,338.02,927800,2023-03-23
CL,"Colgate-Palmolive Company",71.83,-0.3,-0.42%,72.71,71.78,3494400,2023-03-23
CMCSA,"Comcast Corp A",35.97,-0.23,-0.64%,36.48,35.63,20322900,2023-03-23
COF,"Capital One Financial Corp",89.91,-1.1,-1.21%,92.83,88.29,4584100,2023-03-23
COP,Conocophillips,96.42,-1.95,-1.98%,99.76,95.5,5866400,2023-03-23
COST,"Costco Wholesale",487.76,0.24,+0.05%,493.25,484.29,1566000,2023-03-23
CRM,"Salesforce Inc",187.44,0.93,+0.50%,190.56,185.58,8685000,2023-03-23
CSCO,"Cisco Systems Inc",49.73,0.27,+0.55%,50.25,49.4,17775301,2023-03-23
CVS,"CVS Corp",72.37,-2.04,-2.74%,74.22,72.11,9031801,2023-03-23
CVX,"Chevron Corp",154.52,-1.55,-0.99%,158.76,153.14,7859400,2023-03-23
DHR,"Danaher Corp",246.93,0.62,+0.25%,249.78,245.25,1605100,2023-03-23
DIS,"Walt Disney Company",95.83,0.93,+0.98%,97.02,94.76,9527000,2023-03-23
DOW,"Dow Inc",51.65,0.27,+0.53%,52.94,51.15,4781100,2023-03-23
DUK,"Duke Energy Corp",91.55,-1.4,-1.51%,93.63,91.37,2764300,2023-03-23
EMR,"Emerson Electric Company",83.1,-0.3,-0.36%,84.57,82.57,3184700,2023-03-23
EXC,"Exelon Corp",39.2,-0.48,-1.21%,40.3,38.98,8451900,2023-03-23
F,"Ford Motor Company",11.42,-0.06,-0.52%,11.78,11.27,74225297,2023-03-23
FDX,"Fedex Corp",216.92,-0.14,-0.06%,222.64,216.05,2583700,2023-03-23
GD,"General Dynamics Corp",220.11,0.88,+0.40%,221.77,219.1,1472700,2023-03-23
GE,"General Electric Company",91.59,2,+2.23%,92.95,90.53,8646899,2023-03-23
GILD,"Gilead Sciences Inc",78.76,0.95,+1.22%,78.93,77.64,5015700,2023-03-23
GM,"General Motors Company",33.74,-0.31,-0.91%,34.76,33.17,12585400,2023-03-23
GOOG,"Alphabet Cl C",106.26,2.04,+1.96%,107.1,105.41,31385799,2023-03-23
