Symbol,>,>
AAPL,>,>
MSFT,>,>
BHP,>,>
CBA,>,>
CSL,>,>
NAB,>,>
WBC,>,>
ANZ,>,>
WDS,>,>
MQG,>,>
FMG,>,>
WES,>,>
TLS,>,>
WOW,>,>
TCL,>,>
RIO,>,>
GMG,>,>
STO,>,>
COL,>,>
ALL,>,>
WTC,>,>
QBE,>,>
S32,>,>
BXB,>,>
REA,>,>
NCM,>,>
CPU,>,>
SHL,>,>
RMD,>,>
ASX,>,>
JHX,>,>
PLS,>,>
SCG,>,>
RHC,>,>
COH,>,>
SUN,>,>
MIN,>,>
EDV,>,>
IAG,>,>
APA,>,>
AMC,>,>
XRO,>,>
IGO,>,>
VAS,>,>
MPL,>,>
SOL,>,>
QAN,>,>
FPH,>,>
TLC,>,>
AIA,>,>
ORG,>,>
AFI,>,>
REH,>,>
NST,>,>
TWE,>,>
TPG,>,>
WHC,>,>
OZL,>,>
MGOC,>,>
DXS,>,>
ALX,>,>
AKE,>,>
SPK,>,>
VCX,>,>
YAL,>,>
SGP,>,>
MGR,>,>
GPT,>,>
IEL,>,>
BSL,>,>
IPL,>,>
ALD,>,>
LYC,>,>
MCY,>,>
SEK,>,>
WOR,>,>
ARG,>,>
CAR,>,>
AZJ,>,>
EBO,>,>
SVW,>,>
LLC,>,>
ORI,>,>
CWY,>,>
IFT,>,>
CHC,>,>
NHC,>,>
MEZ,>,>
PME,>,>
HVN,>,>
ALQ,>,>
SDF,>,>
IVV,>,>
AGL,>,>
VGS,>,>
ALU,>,>
BEN,>,>
DMP,>,>
QUB,>,>
GQG,>,>
BOQ,>,>
STW,>,>
JBH,>,>
VEA,>,>
CGF,>,>
ILU,>,>
NXT,>,>
A2M,>,>
MTS,>,>
EVN,>,>
AWC,>,>
PMV,>,>
AMP,>,>
TNE,>,>
BPT,>,>
NHF,>,>
IOZ,>,>
FBU,>,>
BKW,>,>
ANN,>,>
LTR,>,>
NEC,>,>
SQ2,>,>
DOW,>,>
CRN,>,>
CNU,>,>
BLD,>,>
APM,>,>
CLW,>,>
NWL,>,>
VTS,>,>
FLT,>,>
APE,>,>
ZIM,>,>
AVZ,>,>
QUAL,>,>
SCP,>,>
NSR,>,>
RWC,>,>
GOLD,>,>
SGM,>,>
BRG,>,>
ORA,>,>
GNE,>,>
CIA,>,>
SGR,>,>
IOO,>,>
BWP,>,>
GOZ,>,>
CTD,>,>
BFL,>,>
HDN,>,>
PXA,>,>
LOV,>,>
A200,>,>
ABP,>,>
PDN,>,>
VHY,>,>
ARB,>,>
VNT,>,>
CQR,>,>
CSR,>,>
DRR,>,>
TAH,>,>
IPH,>,>
VEU,>,>
SNZ,>,>
BAP,>,>
EVT,>,>
AIZ,>,>
PRU,>,>
NIC,>,>
MFG,>,>
SMR,>,>
SUL,>,>
DHG,>,>
ETHI,>,>
MGF,>,>
WAM,>,>
HLS,>,>
VAP,>,>
IFL,>,>
AUB,>,>
NUF,>,>
SYA,>,>
ELD,>,>
DDR,>,>
CXO,>,>
SKC,>,>
GNC,>,>
WEB,>,>
CMW,>,>
WPR,>,>
PSI,>,>
PDL,>,>
IAF,>,>
VUK,>,>
IRE,>,>
CIP,>,>
HUB,>,>
MXT,>,>
PNI,>,>
JLG,>,>
LIC,>,>
CEN,>,>
MVW,>,>
RBD,>,>
INA,>,>
TLX,>,>
SFR,>,>
BRN,>,>
WLE,>,>
DEG,>,>
LNK,>,>
IVC,>,>
MFF,>,>
CHN,>,>
LSF,>,>
GOR,>,>
LFS,>,>
PPT,>,>
HMC,>,>
MAQ,>,>
INR,>,>
MND,>,>
LKE,>,>
BKL,>,>
OCL,>,>
LFG,>,>
CNI,>,>
BKI,>,>
MP1,>,>
RRL,>,>
ABC,>,>
ARF,>,>
SP1,>,>
AUI,>,>
JDO,>,>
IMU,>,>
CMM,>,>
CCP,>,>
BGP,>,>
IXJ,>,>
CQE,>,>
TGR,>,>
PPH,>,>
SLR,>,>
NWH,>,>
SYR,>,>
KAR,>,>
NAN,>,>
29M,>,>
BGA,>,>
GUD,>,>
OBL,>,>
HGH,>,>
DBI,>,>
KLS,>,>
AAC,>,>
GMA,>,>
VUL,>,>
NWS,>,>
CGC,>,>
CKF,>,>
CDA,>,>
MMS,>,>
DUI,>,>
PTM,>,>
NEA,>,>
WAF,>,>
MGH,>,>
DTL,>,>
CUV,>,>
UMG,>,>
CXL,>,>
HSN,>,>
VSL,>,>
MCR,>,>
ING,>,>
RFF,>,>
360,>,>
BOE,>,>
HTA,>,>
PNV,>,>
COF,>,>
XARO,>,>
PWH,>,>
NVX,>,>
TER,>,>
GRR,>,>
ASB,>,>
SDR,>,>
GEM,>,>
CIN,>,>
NEU,>,>
ERA,>,>
IEM,>,>
IEU,>,>
MICH,>,>
WTN,>,>
JRV,>,>
BGL,>,>
