Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",141.2,-2,-1.40%,141.46,142.2404,138.72,1522000,2023-02-24
AA,"Alcoa Corp",46.45,-1.51,-3.15%,46.93,46.93,45.27,4587600,2023-02-24
AAL,"American Airlines Gp",15.56,-0.31,-1.95%,15.51,15.67,15.36,20471801,2023-02-24
AAN,"Aarons Holdings Company",14.13,-0.02,-0.14%,13.8,14.225,13.65,281700,2023-02-24
AAON,"Aaon Inc",81.47,1.1,+1.37%,79.71,81.65,79.15,244900,2023-02-24
AAP,"Advance Auto Parts Inc",138.85,-3.16,-2.23%,140.28,140.755,137.93,2080200,2023-02-24
AAPL,"Apple Inc",146.71,-2.69,-1.80%,147.11,147.19,145.72,55469598,2023-02-24
AAT,"American Assets Trust",25.47,-0.34,-1.32%,25.5,25.58,25.32,239400,2023-02-24
AAWW,"Atlas Air Ww",101.75,-0.03,-0.03%,101.55,101.78,101.55,435300,2023-02-24
ABBV,"Abbvie Inc",152.71,0.64000000000001,+0.42%,151.3,152.98,150.905,5621200,2023-02-24
ABC,"Amerisourcebergen Corp",158.57,-0.93000000000001,-0.58%,159.19,159.7,155.34,1101100,2023-02-24
ABCB,"Ameris Bancorp",48.02,-0.27,-0.56%,47.77,48.2,47.5,276100,2023-02-24
ABCL,"Abcellera Biologics Inc",8.37,-0.14,-1.65%,8.37,8.52,8.3,2234600,2023-02-24
ABG,"Asbury Automotive Group Inc",221.24,-8.15,-3.55%,224.7,225.21,219.255,248300,2023-02-24
ABM,"ABM Industries Inc",48.82,0.030000000000001,+0.06%,48.18,48.84,47.795,319200,2023-02-24
ABNB,"Airbnb Inc Cl A",122.78,-2.74,-2.18%,123.04,124.85,120.19,5119700,2023-02-24
ABR,"Arbor Realty Trust",15.28,-0.08,-0.52%,15.25,15.33,15.1539,1982600,2023-02-24
ABT,"Abbott Laboratories",100.46,-2.09,-2.04%,101.45,101.8,99.89,5476800,2023-02-24
ABUS,"Arbutus Biopharma Cp",2.65,-0.09,-3.28%,2.68,2.7,2.63,850100,2023-02-24
ACA,"Arcosa Inc",62.91,5.41,+9.41%,59.15,64.015,59.15,539400,2023-02-24
ACAD,"Acadia Pharmaceutica",18.92,-0.18,-0.94%,18.78,19.01,18.77,1205300,2023-02-24
ACCD,"Accolade Inc",11.12,-0.39,-3.39%,11.17,11.35,10.92,470000,2023-02-24
ACCO,"Acco Brands Corp",5.39,-0.28,-4.94%,5.5,5.7,5.26,702200,2023-02-24
ACEL,"Accel Entertainment Inc",9.1,-0.14,-1.52%,9.1,9.12,9,136600,2023-02-24
ACET,"Adicet Bio Inc",7.66,-0.42,-5.20%,7.95,8.04,7.63,349700,2023-02-24
ACGL,"Arch Capital Grp Ltd",69.17,0.79,+1.16%,68.39,69.19,68.27,1181700,2023-02-24
ACHC,"Acadia Healthcr Company",80.25,-0.24,-0.30%,80,80.75,79.48,394000,2023-02-24
ACHR,"Archer Aviation Inc",2.72,-0.14,-4.90%,2.78,2.84,2.68,1237600,2023-02-24
ACI,"Albertsons Companies Inc Cl A",20.54,-0.24,-1.15%,20.7,20.725,20.5,4555000,2023-02-24
ACIW,"Aci Worldwide Inc",26.1,-0.05,-0.19%,25.72,26.2,25.7,616000,2023-02-24
ACLS,"Axcelis Tech Inc",123.47,-1.24,-0.99%,121.31,123.85,120.5,490500,2023-02-24
ACLX,"Arcellx Inc",27.8,0.43,+1.57%,27.09,28.15,26.74,386400,2023-02-24
ACM,"Aecom Technology Corp",87.14,-0.92999999999999,-1.06%,87.29,88.08,86.55,1030200,2023-02-24
ACMR,"Acm Research Inc",11.53,-0.07,-0.60%,12.15,12.5,11.3,971400,2023-02-24
ACN,"Accenture Plc",266.53,-4.7,-1.73%,267.4,267.4,264.24,1734900,2023-02-24
ACRE,"Ares Commercial Real Estate Cor",11.53,-0.020000000000001,-0.17%,11.43,11.58,11.3307,512800,2023-02-24
ACRS,"Aclaris Therapts",12.07,-0.7,-5.48%,12.53,12.63,11.86,1540300,2023-02-24
ACT,"Enact Holdings Inc",24.48,0.2,+0.82%,24.21,24.5,23.92,93100,2023-02-24
ACVA,"Acv Auctions Inc Cl A",12.03,-0.65,-5.13%,12.35,12.54,11.79,2242000,2023-02-24
ADBE,"Adobe Systems Inc",320.54,-26.48,-7.63%,328.12,329.76,318.6,8444400,2023-02-24
ADC,"Agree Realty Corp",71.84,-1.43,-1.95%,72.73,73,71.525,526000,2023-02-24
ADEA,"Adeia Inc",10.2,-0.45,-4.23%,10.51,10.58,10.11,432500,2023-02-24
ADI,"Analog Devices",182.94,-2.71,-1.46%,183.28,183.87,181.61,3178000,2023-02-24
ADM,"Archer Daniels Midland",81.44,-0.61,-0.74%,82.04,82.04,81.03,2870600,2023-02-24
ADMA,"Adma Biologics",3.42,-0.08,-2.29%,3.48,3.49,3.42,1322200,2023-02-24
ADNT,"Adient Plc",42.67,-0.73,-1.68%,42.3,42.73,42.03,719100,2023-02-24
ADP,"Automatic Data Procs",221.58,-1.2,-0.54%,219.69,222.03,219.69,1812700,2023-02-24
ADPT,"Adaptive Biotechnologies Corp",8.32,-0.32,-3.70%,8.37,8.49,8.18,691000,2023-02-24
ADSK,"Autodesk Inc",192.53,-28.63,-12.95%,203.19,205.11,191.44,4971400,2023-02-24
ADT,"ADT Inc",7.92,-0.14,-1.74%,8.01,8.01,7.74,3030900,2023-02-24
ADTN,"Adtran Holdings Inc",17.32,-0.29,-1.65%,17.56,17.99,17.24,761700,2023-02-24
ADUS,"Addus Homecare Corp",104.59,-1.72,-1.62%,104.71,106.65,102.85,138800,2023-02-24
AEE,"Ameren Corp",84.37,-0.58999999999999,-0.69%,84.11,84.67,83.36,1487400,2023-02-24
AEIS,"Advanced Energy",91.86,-1.22,-1.31%,91.49,93.56,91.15,95800,2023-02-24
AEL,"American Equity Investment Life",41.52,0.030000000000001,+0.07%,40.86,41.565,40.13,430000,2023-02-24
AEO,"American Eagle Outfitters",14.63,-0.17,-1.15%,14.58,14.685,14.365,2298600,2023-02-24
AEP,"American Electric Power Company",90.43,-0.28,-0.31%,89.44,90.92,89.17,3248100,2023-02-24
AES,"The Aes Corp",25.32,-0.07,-0.28%,25.3,25.5,24.905,3863100,2023-02-24
AFCG,"Afc Gamma Inc",15.56,-0.29,-1.83%,15.63,15.74,15.25,243100,2023-02-24
AFG,"American Financial Group",132.95,2.79,+2.14%,130.19,133.19,129.53,501600,2023-02-24
AFL,"Aflac Inc",68.57,0.56999999999999,+0.84%,67.59,68.79,67.52,1814700,2023-02-24
AFRM,"Affirm Holdings Inc Cl A",13.07,-0.62,-4.53%,13.16,13.45,12.75,13178200,2023-02-24
AGCO,"Agco Corp",139.6,-2.16,-1.52%,139.22,140.75,138.23,616000,2023-02-24
