Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SBUX,"Starbucks Corp",80.31,-1.19,-1.46%,81.42,80,6569300,2022-07-26
SCHW,"The Charles Schwab Corp",61.17,-2.49,-3.91%,63.42,60.93,5591800,2022-07-26
SO,"Southern Company",73.51,0.82,+1.13%,73.65,72.57,2717100,2022-07-26
SPG,"Simon Property Group",102.58,-1.45,-1.39%,103.78,102.06,1376000,2022-07-26
T,"AT&T Inc",18.3,-0.23,-1.24%,18.44,18.18,38852898,2022-07-26
TGT,"Target Corp",151.81,-5.68,-3.61%,152.62,149.5,4618100,2022-07-26
TMO,"Thermo Fisher Scientific Inc",573.27,5.83,+1.03%,573.57,566.52,1012600,2022-07-26
TMUS,"T-Mobile US",133.91,-0.65,-0.48%,134.69,131.75,5521300,2022-07-26
TSLA,"Tesla Inc",776.58,-28.72,-3.57%,801.93,768.79,22140002,2022-07-26
TXN,"Texas Instruments",160.84,-2.36,-1.45%,164.18,160.6,6043500,2022-07-26
UNH,"Unitedhealth Group Inc",531.59,2.12,+0.40%,537.64,531.03,2636400,2022-07-26
UNP,"Union Pacific Corp",215.97,-1.39,-0.64%,217.63,214.45,1927800,2022-07-26
UPS,"United Parcel Service",181.53,-6.38,-3.40%,183.84,178.66,4957800,2022-07-26
USB,"U.S. Bancorp",47.42,-0.63,-1.31%,48.33,47.22,4995000,2022-07-26
V,"Visa Inc",212.49,-1.78,-0.83%,215.15,211.75,6087400,2022-07-26
VZ,"Verizon Communications Inc",44.92,0.16,+0.36%,45.17,44.27,20564299,2022-07-26
WBA,"Walgreens Boots Alliance",38.85,0.1,+0.26%,39.07,38.01,4558000,2022-07-26
WFC,"Wells Fargo & Company",42.9,-0.6,-1.38%,43.68,42.81,15439399,2022-07-26
WMT,"Walmart Inc",121.98,-10.04,-7.60%,122.69,120.06,31782201,2022-07-26
XOM,"Exxon Mobil Corp",89.63,-0.35,-0.39%,91.28,89,15115700,2022-07-26
"Downloaded from Barchart.com as of 07-26-2022 06:57pm CDT"
