>,,Note minimum of about 7 codes
>,,NVDA$ TSLA$ AAPL$ GOOG$ GOOGL$ AMZN$ MSFT$ HD$ PG$ PFE$ XOM$ MA$ BRK.B$ JPM$ V$ KO$ BAC$ UNH$ ABBV$ CVX$ JNJ$
Symbol,,Symbol
sbny,,sbny
payc,,payc
v,,v
ma,,ma
axp,,axp
pypl,,pypl
nvda,,bk
tsla,,bac
aapl,,zion
goog,,usb
googl,,
amzn,,
msft,,
hd,,
pg,,
pfe,,
xom,,
brk.b,,
jpm,,
ko,,
bac,,
unh,,
abbv,,
cvx,,
jnj,,
