Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",227.65,0.02,+0.01%,230.59,227.2,33115598,2025-02-10
ABBV,"Abbvie Inc",190.34,-0.26,-0.14%,191.46,189.09,3685600,2025-02-10
ABT,"Abbott Laboratories",131.31,2.24,+1.74%,131.43,128.6,5503600,2025-02-10
ACN,"Accenture Plc",386.89,0.90999999999997,+0.24%,390,385.19,1771500,2025-02-10
ADBE,"Adobe Systems Inc",451.1,18.03,+4.16%,453.37,439,3946700,2025-02-10
AIG,"American International Group",75.09,0.40000000000001,+0.54%,75.43,74.7,3839700,2025-02-10
AMD,"Adv Micro Devices",110.48,2.92,+2.71%,111.4,108.15,34905301,2025-02-10
AMGN,"Amgen Inc",294.79,1.25,+0.43%,296.88,290.67,2375700,2025-02-10
AMT,"American Tower Corp",189.88,1.04,+0.55%,190.09,187.23,1957900,2025-02-10
AMZN,"Amazon.com Inc",233.14,3.99,+1.74%,233.92,229.2,35419898,2025-02-10
AVGO,"Broadcom Ltd",235.04,10.17,+4.52%,235.82,227.12,23901600,2025-02-10
AXP,"American Express Company",310.26,-6.51,-2.06%,318.45,306.01,3227000,2025-02-10
BA,"Boeing Company",180.55,-0.94,-0.52%,183.55,179.9,3989100,2025-02-10
BAC,"Bank of America Corp",46.67,-0.73,-1.54%,47.555,46.4,26725200,2025-02-10
BK,"Bank of New York Mellon Corp",85.03,-1.12,-1.30%,86.39,84.685,2446800,2025-02-10
BKNG,"Booking Holdings Inc",4913.48,26.01,+0.53%,4987,4905.99,191800,2025-02-10
BLK,"Blackrock Inc",985.55,-6.49,-0.65%,996.34,976.785,683800,2025-02-10
BMY,"Bristol-Myers Squibb Company",55.53,-1.32,-2.32%,56.87,54.6,16656700,2025-02-10
BRK.B,"Berkshire Hathaway Cl B",470.17,-2.57,-0.54%,474.2,469.3701,2907300,2025-02-10
C,"Citigroup Inc",80.73,-0.99,-1.21%,81.82,80.07,10681500,2025-02-10
CAT,"Caterpillar Inc",363.22,-0.66,-0.18%,366.235,361.55,1944600,2025-02-10
CHTR,"Charter Communications Inc",343.73,-4.11,-1.18%,351.87,342.52,866900,2025-02-10
CL,"Colgate-Palmolive Company",85.96,-0.8,-0.92%,86.69,85.63,4162700,2025-02-10
CMCSA,"Comcast Corp A",34.47,0.1,+0.29%,34.78,34.39,26992398,2025-02-10
COF,"Capital One Financial Corp",198.79,-4.42,-2.18%,203.6,197.985,2595800,2025-02-10
COP,Conocophillips,99.48,1.12,+1.14%,99.61,97.8207,10338400,2025-02-10
COST,"Costco Wholesale",1061.92,18.11,+1.73%,1063,1046,2036800,2025-02-10
CRM,"Salesforce Inc",327.2,1.37,+0.42%,331.75,326.65,5981900,2025-02-10
CSCO,"Cisco Systems Inc",62.81,0.54,+0.87%,63.15,62.38,15816199,2025-02-10
CVS,"CVS Corp",54.29,0.28,+0.52%,54.42,53.36,10097600,2025-02-10
CVX,"Chevron Corp",155.77,3.15,+2.06%,155.8,154.06,5653700,2025-02-10
DE,"Deere & Company",469.98,4.38,+0.94%,471.88,464,1349000,2025-02-10
DHR,"Danaher Corp",203.5,-3.26,-1.58%,206.98,203,7038700,2025-02-10
DIS,"Walt Disney Company",109.28,-1.58,-1.43%,111.38,108.69,8239500,2025-02-10
DOW,"Dow Inc",38.57,-0.01,-0.03%,39,38.15,5911000,2025-02-10
DUK,"Duke Energy Corp",115.6,0.61,+0.53%,115.62,113.66,2606800,2025-02-10
EMR,"Emerson Electric Company",126.75,2.38,+1.91%,126.8,124.85,2444400,2025-02-10
F,"Ford Motor Company",9.24,0,0.00%,9.3,9.12,72168000,2025-02-10
FDX,"Fedex Corp",258.23,2.15,+0.84%,258.75,254.08,1216400,2025-02-10
GD,"General Dynamics Corp",256.34,1.51,+0.59%,257.366,255.11,1410800,2025-02-10
GE,"GE Aerospace",205.22,-0.06,-0.03%,206.66,203.4,3787800,2025-02-10
GILD,"Gilead Sciences Inc",95.48,-0.56,-0.58%,96.17,94.56,9628199,2025-02-10
GM,"General Motors Company",46.57,-0.82,-1.73%,47.6,46.44,9017100,2025-02-10
