Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PAYX,"Paychex Inc",120.94,-0.07,-0.06%,121.42,120.35,1166700,2024-01-26
PCAR,"Paccar Inc",101.76,-0.25,-0.25%,103.35,101.41,2058000,2024-01-26
PDD,"Pdd Holdings Inc",141.77,-2.66,-1.84%,143.72,140.58,4554000,2024-01-26
PEP,"Pepsico Inc",167.86,1.3,+0.78%,168.03,166.6,4848900,2024-01-26
PYPL,"Paypal Holdings",61.78,1.07,+1.76%,62.27,60.01,18430699,2024-01-26
QCOM,"Qualcomm Inc",150.72,-3.75,-2.43%,152.98,150.38,7744700,2024-01-26
REGN,"Regeneron Pharmaceuticals",940.05,-8.82,-0.93%,958.15,939.06,460500,2024-01-26
ROP,"Roper Industries",549.68,-2.02,-0.37%,553.08,546.4,426200,2024-01-26
ROST,"Ross Stores Inc",141.76,0.95,+0.67%,142.01,140.72,1910300,2024-01-26
SBUX,"Starbucks Corp",92.8,0.19,+0.21%,93.49,92.41,9229400,2024-01-26
SIRI,"Sirius XM Holdings",5.34,-0.03,-0.56%,5.42,5.3,9492300,2024-01-26
SNPS,"Synopsys Inc",528.13,-8.55,-1.59%,532.85,525.42,1028300,2024-01-26
SPLK,"Splunk Inc",153.36,0.06,+0.04%,153.38,153.2,1975700,2024-01-26
TEAM,"Atlassian Corp",247.79,3.44,+1.41%,249.5,241.14,1421600,2024-01-26
TMUS,"T-Mobile US",162.16,-0.4,-0.25%,165.69,159.59,8882500,2024-01-26
TSLA,"Tesla Inc",183.25,0.62,+0.34%,186.78,182.1,107343195,2024-01-26
TTD,"Trade Desk Inc",68.01,-1.11,-1.61%,69.61,67.8,3517100,2024-01-26
TTWO,"Take-Two Interactive",167.39,-1.11,-0.66%,169.56,167.3,1123100,2024-01-26
TXN,"Texas Instruments",164.09,-3.33,-1.99%,166.2,163.28,8800800,2024-01-26
VRSK,"Verisk Analytics Inc",244.15,0.67,+0.28%,244.88,242.7,713600,2024-01-26
VRTX,"Vertex Pharmaceutic",430.17,0.21,+0.05%,432.19,428.14,944500,2024-01-26
WBA,"Walgreens Boots Alliance",22.85,-0.26,-1.13%,23.42,22.78,10150100,2024-01-26
WBD,"Discovery Inc Series A",10.62,0.04,+0.38%,10.66,10.47,12071801,2024-01-26
WDAY,"Workday Inc",288.63,-3.73,-1.28%,292.67,288.55,1296400,2024-01-26
XEL,"XCEL Energy Inc",59.39,0.5,+0.85%,59.6,58.9,4038800,2024-01-26
ZS,"Zscaler Inc",236.83,-1.47,-0.62%,239.84,234.29,1204800,2024-01-26
"Downloaded from Barchart.com as of 01-28-2024 06:03pm CST"
