Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",191.31,0.67,+0.35%,192.93,190.82,39630000,2023-11-22
ABNB,"Airbnb Inc Cl A",129.04,2.22,+1.75%,130.58,127.71,3974600,2023-11-22
ADBE,"Adobe Systems Inc",619.72,8.73,+1.43%,624.38,614.01,2064900,2023-11-22
ADI,"Analog Devices",182.67,1.42,+0.78%,184.21,181.44,2926300,2023-11-22
ADP,"Automatic Data Procs",231.15,-0.06,-0.03%,233.75,229.8,1439200,2023-11-22
ADSK,"Autodesk Inc",202.66,-15.01,-6.90%,208.55,200.05,4288900,2023-11-22
AEP,"American Electric Power Company",78.25,0.21,+0.27%,78.28,77.47,2499700,2023-11-22
ALGN,"Align Technology",217.29,1.99,+0.92%,221.17,216.75,732900,2023-11-22
AMAT,"Applied Materials",149.48,0.23,+0.15%,153.79,149.02,5071800,2023-11-22
AMD,"Adv Micro Devices",122.51,3.35,+2.81%,124.76,119.95,56894402,2023-11-22
AMGN,"Amgen Inc",264.59,1.77,+0.67%,266.47,262.26,1649100,2023-11-22
AMZN,"Amazon.com Inc",146.71,2.81,+1.95%,147.74,144.57,45700000,2023-11-22
ANSS,"Ansys Inc",298.52,-1.03,-0.34%,303.44,298.07,389800,2023-11-22
ASML,"Asml Holdings NY Reg ADR",684.8,0.38,+0.06%,694.05,683.91,523100,2023-11-22
AVGO,"Broadcom Ltd",972,-9.2,-0.94%,987.99,971,3375000,2023-11-22
AZN,"Astrazeneca Plc ADR",63.61,-0.67,-1.04%,63.92,63.28,4837100,2023-11-22
BIIB,"Biogen Inc",231.25,1.68,+0.73%,231.41,229.49,505500,2023-11-22
BKNG,"Booking Holdings Inc",3130,-15.05,-0.48%,3168.78,3129.96,192600,2023-11-22
BKR,"Baker Hughes Company",33.58,-0.33,-0.97%,33.62,32.79,6071500,2023-11-22
CDNS,"Cadence Design Sys",270.35,-0.04,-0.01%,273.91,270.18,826000,2023-11-22
CEG,"Constellation Energy Corp",123.25,0.74,+0.60%,123.84,121.97,1376700,2023-11-22
CHTR,"Charter Communications Inc",405.28,2.82,+0.70%,410,403.05,719800,2023-11-22
CMCSA,"Comcast Corp A",42.48,-0.12,-0.28%,42.93,42.4,12855101,2023-11-22
COST,"Costco Wholesale",589.08,4.78,+0.82%,591.14,586.35,1068900,2023-11-22
CPRT,"Copart Inc",50.89,0.24,+0.47%,51.33,50.74,3143000,2023-11-22
CRWD,"Crowdstrike Holdings Inc",209.61,0.63,+0.30%,210.65,206.55,2200600,2023-11-22
CSCO,"Cisco Systems Inc",48.08,0.28,+0.59%,48.35,47.94,17311301,2023-11-22
CSGP,"Costar Group Inc",83.85,0.56,+0.67%,84.54,83.7,1141100,2023-11-22
CSX,"CSX Corp",32.55,0.3,+0.93%,32.61,32.26,13128601,2023-11-22
CTAS,"Cintas Corp",554.82,1.58,+0.29%,559.01,553.77,206300,2023-11-22
CTSH,"Cognizant Tech Sol",70.88,0.63,+0.90%,71.26,70.49,2432600,2023-11-22
DDOG,"Datadog Inc Cl A",112.13,0.2,+0.18%,113.57,110.72,2507300,2023-11-22
DLTR,"Dollar Tree Inc",115.57,-0.5,-0.43%,116.4,115.04,1644300,2023-11-22
DXCM,"Dexcom Inc",110.8,1.84,+1.69%,112.04,109.42,2747500,2023-11-22
EA,"Electronic Arts Inc",136.12,0.06,+0.04%,137.07,136.07,1153600,2023-11-22
EBAY,"Ebay Inc",41.64,1.25,+3.09%,41.85,40.5,8620000,2023-11-22
ENPH,"Enphase Energy Inc",100.2,1.88,+1.91%,101.86,98.41,4069700,2023-11-22
EXC,"Exelon Corp",38.86,-0.02,-0.05%,39.06,38.62,6251000,2023-11-22
FANG,"Diamondback Energy",154.16,-0.93,-0.60%,154.63,149.99,1363400,2023-11-22
FAST,"Fastenal Company",60.87,0.17,+0.28%,61.02,60.56,2024800,2023-11-22
