Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ESTA,"Establishment Labs Holdings Inc",54.93,-0.09,-0.16%,55.33,55.76,54.23,74100,2023-08-28
ETNB,"89Bio Inc",16.99,0.47,+2.85%,17.01,18.3,16.78,864700,2023-08-28
ETSY,"Etsy Inc",72.24,-0.07,-0.10%,72.74,73.28,71.93,1838600,2023-08-28
EVBG,"Everbridge Inc",23.76,0.31,+1.32%,23.63,23.98,23.59,221300,2023-08-28
EVCM,"Evercommerce Inc",10.38,0.13,+1.27%,10.28,10.49,10.28,45900,2023-08-28
EVER,"Everquote Inc Cl A",5.72,0.17,+3.06%,5.57,5.83,5.57,148000,2023-08-28
EVLO,"Evelo Biosciences Inc",6.81,0.5,+7.92%,6.28,6.93,6.08,130000,2023-08-28
EVLV,"Evolv Technologies Hldgs Inc",6.24,0,0.00%,6.29,6.4,6.22,576700,2023-08-28
EVRG,"Evergy Inc",56.72,-0.17,-0.30%,56.99,57.51,56.69,1260000,2023-08-28
EWBC,"East West Bancorp",55.13,0.77,+1.42%,54.92,55.51,54.49,474600,2023-08-28
EWTX,"Edgewise Therapeutics Inc",6.91,-0.22,-3.09%,7.13,7.22,6.75,115600,2023-08-28
EXAI,"Exscientia Ltd ADR",5.9,-0.82,-12.20%,6.72,6.89,5.85,337800,2023-08-28
EXAS,"Exact Sciences Cor",80.13,-0.33,-0.41%,81.56,81.92,79.96,859300,2023-08-28
EXC,"Exelon Corp",40.25,-0.05,-0.12%,40.49,40.63,40.17,3167000,2023-08-28
EXEL,"Exelixis Inc",22.18,0.19,+0.86%,21.99,22.3,21.99,2302500,2023-08-28
EXFY,"Expensify Inc Cl A",4.46,-0.03,-0.67%,4.49,4.6,4.39,442900,2023-08-28
EXLS,"Exlservice Holdings",28.81,-0.16,-0.55%,29.01,29.25,28.67,1078100,2023-08-28
EXPD,"Expeditors Intl",115.01,0.69,+0.60%,115.15,115.91,114.7,734600,2023-08-28
EXPE,"Expedia Group Inc",108.17,1.23,+1.15%,107.43,108.55,107.02,1163200,2023-08-28
EXPI,"Exp Realty International",19.54,0.19,+0.98%,19.6,19.89,19.44,519100,2023-08-28
EXPO,"Exponent Inc",90.14,-0.4,-0.44%,90.54,91.22,89.55,182600,2023-08-28
EXTR,"Extreme Networks",25.29,0.13,+0.52%,25.09,25.41,24.77,2370900,2023-08-28
EYE,"National Vision Holdings Inc",18.52,0.14,+0.76%,18.55,18.72,18.5,1112400,2023-08-28
EYPT,"Eyepoint Pharmaceuticals Inc",11.65,0.34,+3.01%,11.34,12.07,11.26,504900,2023-08-28
FA,"First Advantage Corp",13.77,0.04,+0.29%,13.77,13.8,13.7,168800,2023-08-28
FANG,"Diamondback Energy",150.68,1.13,+0.76%,150,151.97,149.8,1237900,2023-08-28
FAST,"Fastenal Company",57.33,0.17,+0.30%,57.54,57.67,57.1,1162100,2023-08-28
FATE,"Fate Therapeutics",2.66,0.03,+1.14%,2.65,2.82,2.62,2003800,2023-08-28
FAZE,"Faze Holdings Inc.",0.271,0.0019,+0.71%,0.27,0.2835,0.27,59800,2023-08-28
FBNC,"First Bancorp [Nc]",29.98,0.51,+1.73%,29.66,30.2,29.56,129600,2023-08-28
FBRX,"Forte Biosciences Inc",0.829,-0.011,-1.31%,0.83,0.8399,0.82,4500,2023-08-28
FCEL,"Fuelcell Energy Inc",1.33,-0.05,-3.62%,1.52,1.53,1.31,19000900,2023-08-28
FCFS,"Firstcash Holdings Inc",89.19,-0.21,-0.23%,89.4,90.39,89.15,88000,2023-08-28
FCNCA,"First Citizens Bancs",1365.69,4.01,+0.29%,1372.88,1385.59,1365.03,48700,2023-08-28
FDMT,"4D Molecular Therapeutics Inc",16.84,-0.01,-0.06%,16.89,17.12,16.46,165300,2023-08-28
FELE,"Franklin Electric Company",96.95,0.84,+0.87%,96.8,97.57,96.68,97200,2023-08-28
FFBC,"First Finl Bncp [Oh]",21.17,0.29,+1.39%,21.02,21.29,20.99,154600,2023-08-28
FFIE,"Faraday Future Intelligent Electric Inc",9.48,-2.96,-23.79%,10.59,11.2,9.27,4099300,2023-08-28
FFIN,"First Finl Bkshs Inc",28.74,0.07,+0.24%,28.82,29.26,28.64,349400,2023-08-28
FFIV,"F5 Inc",158.82,1.53,+0.97%,157.72,159.21,157.7,191800,2023-08-28
FGEN,"Fibrogen Inc CS",1.24,0.03,+2.48%,1.21,1.26,1.2,1371300,2023-08-28
FHB,"First Hawaiian Inc",18.93,0.25,+1.34%,18.85,19.21,18.84,619900,2023-08-28
FIBK,"First Interstate Ban",25.65,0.38,+1.50%,25.48,25.73,25.27,592000,2023-08-28
FITB,"Fifth Third Bancorp",25.8,0.38,+1.49%,25.65,25.97,25.58,2213200,2023-08-28
FIVE,"Five Below Inc",179.18,1.48,+0.83%,177.97,179.75,176.28,1018600,2023-08-28
FIVN,"Five9 Inc",70.82,-1.41,-1.95%,72.38,73.1,70.71,723900,2023-08-28
FIZZ,"Natl Beverage Cp",51.56,0,0.00%,51.49,52.21,51.4,71200,2023-08-28
FLEX,"Flextronics Intl Ltd",27.2,1.06,+4.06%,26.51,27.33,26.32,4722600,2023-08-28
FLNC,"Fluence Energy Inc Cl A",23.96,0.19,+0.80%,23.98,24.33,23.82,658000,2023-08-28
FLYW,"Flywire Corp Voting",31.75,0.01,+0.03%,31.95,32.05,31.51,738000,2023-08-28
FOCS,"Focus Financial Partners Inc Cl A",52.4,-0.08,-0.15%,52.55,52.55,52.38,1998500,2023-08-28
FOLD,"Amicus Therapeutics",12.82,-0.04,-0.31%,12.83,13.03,12.65,1097800,2023-08-28
FORM,"Formfactor Inc",31.16,-0.09,-0.29%,31.42,31.88,31.01,277800,2023-08-28
