Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CNMD,"C O N M E D Cp",154.18,4.41,+2.94%,155,150.65,475300,2022-04-20
CNSL,"Consolidated Communications Holdings Inc",6.38,0.02,+0.31%,6.5,6.29,332100,2022-04-20
CNXN,"PC Connection Inc",52.5,0.54,+1.04%,53.29,52.04,63300,2022-04-20
COHU,"Cohu Inc",26.75,0.06,+0.22%,27.62,26.7,282300,2022-04-20
COKE,"Coca Cola Bot Cons",493.09,2.21,+0.45%,508.17,491.46,27100,2022-04-20
COLB,"Columbia Banking Sys",31.27,-0.05,-0.16%,32.01,31.25,692300,2022-04-20
COLL,"Collegium Pharma",18.03,-0.22,-1.21%,18.87,17.98,317500,2022-04-20
CONN,"Conn's Inc",16.54,-0.12,-0.72%,16.81,16.47,220600,2022-04-20
COOP,"Mr.Cooper Group Inc",46.3,0.64,+1.40%,47.13,45.83,940300,2022-04-20
CORT,"Corcept Therapeutics",22.99,-0.21,-0.91%,23.37,22.9,1459200,2022-04-20
CPE,"Callon Petroleum Company",63.16,2.74,+4.53%,63.43,59.91,2005800,2022-04-20
CPF,"Central Pacific Financial Company",27.35,-0.12,-0.44%,28.75,27.24,215600,2022-04-20
CPK,"Chesapeake Utilities Corp",138.72,0.78,+0.57%,140.55,138.65,30133,"17:08 ET"
CPSI,"Computer Programs",33.89,0.33,+0.98%,34.4,33.58,35400,2022-04-20
CRMT,"America's Car-Mart",85.48,-2.55,-2.90%,90.12,84.79,92600,2022-04-20
CRNC,"Cerence Inc",32.83,-0.18,-0.55%,33.69,32.73,336400,2022-04-20
CRS,"Carpenter Technology Corp",43.16,-0.67,-1.53%,44.96,43,259400,2022-04-20
CRSR,"Corsair Gaming Inc",19.34,-0.32,-1.63%,19.76,19.12,428800,2022-04-20
CRVL,"Corvel Cp",181.7,3.65,+2.05%,182.52,179.61,26600,2022-04-20
CSGS,"C S G Sys Intl",65.36,0.49,+0.76%,65.95,65.06,212200,2022-04-20
CSII,"Cardiovascular Syst",21.84,-0.03,-0.14%,22.26,21.65,253800,2022-04-20
CSR,Centerspace,101.99,2.24,+2.25%,102.54,100.4,83600,2022-04-20
CTRE,"Caretrust REIT Inc",17.42,0.45,+2.65%,17.54,16.97,754900,2022-04-20
CTS,"Cts Corp",36.1,1.27,+3.65%,36.47,35.17,97900,2022-04-20
CUBI,"Customers Bancorp",47.32,0.36,+0.77%,47.68,46.65,253500,2022-04-20
CUTR,"Cutera Inc",68.01,0.93,+1.39%,68.67,66.22,1501500,2022-04-20
CVBF,"Cvb Financial Corp",23.75,0.21,+0.89%,23.95,23.56,928400,2022-04-20
CVCO,"Cavco Inds Inc",243.87,-3.53,-1.43%,250.78,242.92,60900,2022-04-20
CVET,"Covetrus Inc",16.13,-0.1,-0.62%,16.45,16,947200,2022-04-20
CVGW,"Calavo Growers Inc",38.51,0.24,+0.63%,38.75,38.03,91300,2022-04-20
CWT,"California Water Service Group Holding",56.15,1.16,+2.11%,56.95,55.67,256300,2022-04-20
CXW,"Corecivic Inc",13.81,0.02,+0.15%,14.24,13.63,1838500,2022-04-20
CYH,"Community Health Systems",11.68,0.35,+3.09%,11.87,11.33,849500,2022-04-20
CYTK,Cytokinetics,37.81,-0.12,-0.32%,38.7,37.42,538300,2022-04-20
DBD,"Diebold Nixdorf Inc",5.79,0.24,+4.32%,5.94,5.6,1764700,2022-04-20
DBI,"Designer Brands Inc",15.28,-0.03,-0.20%,15.57,15.14,1161200,2022-04-20
DCOM,"Dime Community Bancshares Inc",36.28,0.1,+0.28%,36.82,36.2,166600,2022-04-20
DDD,"3D Systems Corp",13.99,-0.29,-2.03%,14.36,13.94,785400,2022-04-20
DEA,"Easterly Government Properties",20.41,0.18,+0.89%,20.57,20.31,473200,2022-04-20
DFIN,"Donnelly Financial Solutions Inc",31.93,0.74,+2.37%,32.26,31.44,221900,2022-04-20
DGII,"Digi Intl Inc",20.34,0.01,+0.05%,20.75,20.32,87100,2022-04-20
DHC,"Diversified Healthcare Trust",2.69,-0.08,-2.89%,2.84,2.68,1031100,2022-04-20
