Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
TDY,"Teledyne Technologies Inc",400,-0.93000000000001,-0.23%,400.22,402.825,397.46,166000,2022-07-25
TEL,"Te Connectivity Ltd",123.06,0.010000000000005,+0.01%,123.11,123.71,121.9025,974700,2022-07-25
TER,"Teradyne Inc",100.1,-0.36,-0.36%,99.76,100.3,98.41,1639300,2022-07-25
TRMB,"Trimble Navigation",64.18,1.03,+1.63%,63.04,64.25,62.65,1786800,2022-07-25
TXN,"Texas Instruments",163.2,-0.7,-0.43%,163.8,163.86,161.27,4201400,2022-07-25
TYL,"Tyler Technologies",365.51,-1.8,-0.49%,366.44,366.44,361.99,177300,2022-07-25
V,"Visa Inc",214.27,0.57000000000002,+0.27%,214.58,214.8,211.62,4357200,2022-07-25
VRSN,"Verisign Inc",181.44,-3.86,-2.08%,185.83,185.83,180.03,550300,2022-07-25
WDC,"Western Digital Cp",46.84,-0.38,-0.80%,47.37,48.15,46.39,4670800,2022-07-25
ZBRA,"Zebra Technologies",325.37,-1.31,-0.40%,325.5,328.79,320.96,356300,2022-07-25
"Downloaded from Barchart.com as of 07-25-2022 11:15pm CDT"
